<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20040704,8935.00,8937,8935,8936.00,20010,7,Hegmatan Cement-R-a
20040705,8929.00,8930,8929,8929.00,2010,4,Hegmatan Cement-R-a
20040706,8927.00,8927,8800,8896.00,32538,14,Hegmatan Cement-R-a
20040707,8926.00,9001,8926,8989.00,18571,9,Hegmatan Cement-R-a
20040711,9500.00,9500,8989,9481.00,35960,11,Hegmatan Cement-R-a
20040712,9008.00,9008,9004,9005.00,9010,3,Hegmatan Cement-R-a
20040713,9021.00,9025,9021,9024.00,8100,5,Hegmatan Cement-R-a
20040714,9027.00,9032,9027,9030.00,4943,5,Hegmatan Cement-R-a
20040717,9035.00,9035,9035,9035.00,7000,2,Hegmatan Cement-R-a
20040718,9044.00,9044,9044,9044.00,1027,3,Hegmatan Cement-R-a
20040719,9044.00,9045,9000,9028.00,33312,13,Hegmatan Cement-R-a
20040720,9043.00,9044,9000,9026.00,15161,10,Hegmatan Cement-R-a
20040724,9025.00,9025,9025,9025.00,294,1,Hegmatan Cement-R-a
20040725,9026.00,9039,9026,9033.00,8684,8,Hegmatan Cement-R-a
20040726,9043.00,9250,9043,9159.00,9910,8,Hegmatan Cement-R-a
20040727,9202.00,9202,9202,9202.00,2157,6,Hegmatan Cement-R-a
20040728,9202.00,9202,9202,9202.00,150,1,Hegmatan Cement-R-a
20040731,9202.00,9210,9202,9205.00,12767,20,Hegmatan Cement-R-a
20060905,4500.00,4500,4500,4500.00,130000,26,Hegmatan Cement-R-a
20060906,4680.00,4680,4680,4680.00,49676,6,Hegmatan Cement-R-a
20071209,1850.00,1850,1600,1673.00,5110,5,Hegmatan Cement-R-a
20071210,1739.00,1739,1739,1739.00,2000,1,Hegmatan Cement-R-a
20071211,1670.00,1739,1670,1687.00,38991,16,Hegmatan Cement-R-a
20071212,1725.00,1725,1725,1725.00,10000,1,Hegmatan Cement-R-a
20071218,1724.00,1724,1724,1724.00,955,1,Hegmatan Cement-R-a
20071222,1656.00,1658,1656,1657.00,8657,3,Hegmatan Cement-R-a
20071223,1723.00,1723,1723,1723.00,7000,3,Hegmatan Cement-R-a
20071224,1791.00,1791,1791,1791.00,350,1,Hegmatan Cement-R-a
20071225,1862.00,1862,1862,1862.00,57000,9,Hegmatan Cement-R-a
20071226,1936.00,1936,1936,1936.00,27100,4,Hegmatan Cement-R-a
20071230,2013.00,2013,2013,2013.00,8000,2,Hegmatan Cement-R-a
20071231,2093.00,2093,2093,2093.00,10,1,Hegmatan Cement-R-a
20080101,2176.00,2176,2176,2176.00,10,1,Hegmatan Cement-R-a
20080102,2263.00,2263,2263,2263.00,1,1,Hegmatan Cement-R-a
20080106,2353.00,2353,2353,2353.00,6010,2,Hegmatan Cement-R-a
20080108,2353.00,2354,2353,2353.00,56489,15,Hegmatan Cement-R-a
20080109,2447.00,2447,2447,2447.00,577,1,Hegmatan Cement-R-a
20080112,2544.00,2544,2447,2538.00,22790,11,Hegmatan Cement-R-a
20080113,2639.00,2639,2547,2632.00,29090,13,Hegmatan Cement-R-a
20080213,1700.00,1700,1700,1700.00,23460,5,Hegmatan Cement-R-a
20081112,1300.00,1500,1270,1338.00,29647,15,Hegmatan Cement-R-a
20081115,1270.00,1271,1265,1268.00,23030,21,Hegmatan Cement-R-a
20081116,1300.00,1300,1268,1286.00,24610,10,Hegmatan Cement-R-a
20081117,1280.00,1300,1280,1296.00,11985,4,Hegmatan Cement-R-a
20081118,1298.00,1334,1298,1330.00,1010,3,Hegmatan Cement-R-a
20081119,1379.00,1400,1300,1381.00,53376,16,Hegmatan Cement-R-a
20081122,1300.00,1460,1300,1353.00,35114,16,Hegmatan Cement-R-a
20081123,1434.00,1434,1434,1434.00,22246,7,Hegmatan Cement-R-a
20081124,1458.00,1458,1449,1452.00,16149,8,Hegmatan Cement-R-a
20081125,1449.00,1449,1449,1449.00,8800,1,Hegmatan Cement-R-a
20081126,1440.00,1440,1440,1440.00,8800,3,Hegmatan Cement-R-a
20081129,1431.00,1431,1431,1431.00,3600,1,Hegmatan Cement-R-a
20081202,1400.00,1400,1400,1400.00,3141,1,Hegmatan Cement-R-a
20081203,1316.00,1316,1316,1316.00,15425,4,Hegmatan Cement-R-a
20081207,1277.00,1277,1277,1277.00,2000,2,Hegmatan Cement-R-a
20081213,1300.00,1300,1300,1300.00,100,1,Hegmatan Cement-R-a
20081216,1222.00,1222,1222,1222.00,4887,14,Hegmatan Cement-R-a
20081224,1149.00,1149,1149,1149.00,555,1,Hegmatan Cement-R-a
20081227,1081.00,1115,1081,1081.00,56013,15,Hegmatan Cement-R-a
20081228,1017.00,1081,1017,1031.00,4000,4,Hegmatan Cement-R-a
20081229,971.00,975,970,972.00,18270,10,Hegmatan Cement-R-a
20081230,1030.00,1030,1030,1030.00,2748,2,Hegmatan Cement-R-a
20090103,1030.00,1030,1030,1030.00,2000,1,Hegmatan Cement-R-a
20090104,1030.00,1091,1030,1062.00,22333,8,Hegmatan Cement-R-a
20090105,1000.00,1125,1000,1100.00,22800,11,Hegmatan Cement-R-a
20090311,1000.00,1000,1000,1000.00,156551,29,Hegmatan Cement-R-a
