<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20110709,186.00,186,186,186.00,10000,1,فن_آواح-ت
20110711,186.00,186,186,186.00,10000,1,فن_آواح-ت
20110807,50.00,50,1,4.00,80506288,834,فن_آواح-ت
20170521,1601.00,1750,1601,1645.00,229152,19,فن_آواح-ت
20170522,1605.00,1635,1605,1634.00,71375,4,فن_آواح-ت
20170524,1750.00,1797,1750,1797.00,241675,36,فن_آواح-ت
20170527,1797.00,1975,1797,1936.00,64040,15,فن_آواح-ت
20170528,1855.00,2000,1835,1846.00,99000,12,فن_آواح-ت
20170529,1755.00,1990,1755,1915.00,70800,17,فن_آواح-ت
20170530,1750.00,1750,1724,1740.00,27000,2,فن_آواح-ت
20170531,1570.00,1910,1566,1569.00,81600,19,فن_آواح-ت
20170606,1600.00,1625,1600,1617.00,29000,3,فن_آواح-ت
20170607,1502.00,1502,1482,1493.00,117730,12,فن_آواح-ت
20170610,1501.00,1501,1450,1484.00,39430,8,فن_آواح-ت
20170611,1353.00,1375,1350,1363.00,66640,18,فن_آواح-ت
20170612,1497.00,1499,1497,1498.00,32160,8,فن_آواح-ت
20170614,1619.00,1620,1619,1619.00,11000,2,فن_آواح-ت
20170618,1600.00,1640,1600,1628.00,13580,3,فن_آواح-ت
20170619,1582.00,1582,1582,1582.00,748,2,فن_آواح-ت
20170625,1424.00,1428,1424,1425.00,11982,3,فن_آواح-ت
20170701,1563.00,1567,1563,1567.00,72919,6,فن_آواح-ت
20170704,1500.00,1500,1500,1500.00,4181,1,فن_آواح-ت
20170708,1491.00,1491,1491,1491.00,10000,1,فن_آواح-ت
20170709,1510.00,1510,1401,1406.00,40000,3,فن_آواح-ت
20170710,1400.00,1400,1321,1343.00,27819,4,فن_آواح-ت
20170711,1477.00,1477,1477,1477.00,12181,2,فن_آواح-ت
20170712,1586.00,1589,1500,1587.00,20004,5,فن_آواح-ت
20170723,1560.00,1560,1560,1560.00,11000,2,فن_آواح-ت
20170724,1550.00,1688,1550,1568.00,41420,5,فن_آواح-ت
20170725,1724.00,1724,1688,1721.00,47612,6,فن_آواح-ت
20170726,1893.00,1893,1893,1893.00,3705,2,فن_آواح-ت
20170729,2082.00,2082,2082,2082.00,45912,2,فن_آواح-ت
20170730,2290.00,2290,2285,2290.00,570625,78,فن_آواح-ت
20170731,2061.00,2400,2061,2294.00,285059,47,فن_آواح-ت
20170801,2112.00,2160,2065,2087.00,118391,25,فن_آواح-ت
20170802,2065.00,2065,1950,1962.00,73424,18,فن_آواح-ت
20170806,1801.00,2158,1800,2145.00,458044,72,فن_آواح-ت
20170807,2260.00,2260,2249,2250.00,20484,3,فن_آواح-ت
20170808,2026.00,2100,2025,2025.00,294000,15,فن_آواح-ت
20170809,2000.00,2100,2000,2003.00,594703,33,فن_آواح-ت
20170812,1900.00,2188,1900,2021.00,30952,9,فن_آواح-ت
20180101,811.00,811,801,802.00,1525029,39,فن_آواح-ت
20180102,800.00,800,800,800.00,394389,14,فن_آواح-ت
20180103,770.00,880,770,825.00,8000000,174,فن_آواح-ت
20180106,907.00,907,907,907.00,6189594,138,فن_آواح-ت
