<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20180319,1130.41,1181,1130,1169.37,223150421,86930,تبرك-ت
20180325,1134.65,1184,1114,1147.35,70962053,40287,تبرك-ت
20180326,1163.44,1194,1162,1177.83,19686450,10274,تبرك-ت
20180327,1189.69,1198,1168,1182.91,12615424,6198,تبرك-ت
20180328,1193.92,1197,1181,1190.53,10121861,4689,تبرك-ت
20180403,1201.54,1202,1182,1196.46,11184549,5688,تبرك-ت
20180404,1202.39,1202,1189,1197.31,9337185,4476,تبرك-ت
20180407,1201.54,1202,1169,1184.61,9248505,3951,تبرك-ت
20180408,1193.92,1194,1164,1182.07,6902149,3299,تبرك-ت
20180409,1182.07,1183,1161,1177.83,7988987,3607,تبرك-ت
20180410,1181.22,1182,1173,1176.99,4896818,2071,تبرك-ت
20180411,1176.99,1180,1143,1174.45,4581867,2169,تبرك-ت
20180415,1176.99,1180,1152,1175.29,3627840,1823,تبرك-ت
20180416,1176.99,1177,1164,1173.60,2310323,1188,تبرك-ت
20180417,1173.60,1177,1167,1172.75,2023439,1055,تبرك-ت
20180418,1173.60,1177,1166,1173.60,1634801,833,تبرك-ت
20180421,1176.99,1194,1174,1183.76,2530408,1395,تبرك-ت
20180422,1176.99,1181,1158,1174.45,1449718,714,تبرك-ت
20180423,1181.22,1185,1173,1178.68,1975120,1020,تبرك-ت
20180424,1184.61,1185,1177,1179.53,1225995,553,تبرك-ت
20180425,1183.76,1184,1174,1179.53,1257831,589,تبرك-ت
20180428,1180.37,1180,1169,1175.29,1152521,588,تبرك-ت
20180429,1176.14,1176,1156,1169.37,1331312,515,تبرك-ت
20180430,1169.37,1169,1163,1167.67,1263644,620,تبرك-ت
20180501,1168.52,1169,1160,1165.98,893012,423,تبرك-ت
20180505,1168.52,1169,1163,1166.83,1081550,548,تبرك-ت
20180506,1167.67,1169,1143,1165.13,1656190,797,تبرك-ت
20180507,1168.52,1177,1169,1172.75,738196,452,تبرك-ت
20180508,1176.99,1195,1177,1187.15,1865122,1114,تبرك-ت
20180509,1185.45,1198,1176,1187.15,2504371,1158,تبرك-ت
20180512,1189.69,1202,1190,1196.46,1817317,1004,تبرك-ت
20180513,1202.39,1256,1202,1239.65,4974568,2382,تبرك-ت
20180514,1261.66,1301,1246,1288.76,6456295,2777,تبرك-ت
20180515,1340.41,1340,1289,1299.77,3304292,1570,تبرك-ت
20180516,1299.77,1364,1300,1349.72,5291700,2108,تبرك-ت
20180519,1363.27,1413,1355,1386.98,4183119,1665,تبرك-ت
20180520,1409.84,1434,1390,1404.76,2042558,899,تبرك-ت
20180521,1409.84,1439,1406,1418.31,2569943,1056,تبرك-ت
20180522,1419.16,1489,1418,1456.41,4748405,1831,تبرك-ت
20180523,1515.69,1529,1482,1519.07,5618584,1868,تبرك-ت
20180526,1524.16,1524,1456,1476.74,10456720,3472,تبرك-ت
20180527,1506.37,1519,1483,1501.29,2378970,917,تبرك-ت
20180528,1513.99,1514,1482,1486.05,2573604,821,تبرك-ت
20180529,1484.36,1507,1484,1490.28,1462369,615,تبرك-ت
20180530,1484.36,1487,1482,1481.82,3157349,1111,تبرك-ت
20180602,1484.36,1485,1482,1482.66,3045581,1331,تبرك-ت
20180603,1482.66,1484,1482,1482.66,9326437,1717,تبرك-ت
20180609,1486.05,1490,1481,1482.66,8945661,724,تبرك-ت
20180610,1456.41,1495,1456,1484.36,937213,274,تبرك-ت
20180611,1481.82,1498,1469,1481.82,3256896,462,تبرك-ت
20180612,1481.82,1628,1482,1539.40,2417600,600,تبرك-ت
20180613,1502.14,1566,1487,1532.62,2747465,469,تبرك-ت
20180617,1494.52,1553,1495,1530.08,10465754,1313,تبرك-ت
20180618,1540.24,1541,1491,1528.39,9315794,689,تبرك-ت
20180619,1487.74,1583,1486,1525.00,2855050,469,تبرك-ت
20180620,1492.83,1539,1493,1511.45,1604571,237,تبرك-ت
20180623,1515.69,1537,1495,1513.99,1358980,323,تبرك-ت
20180624,1528.39,1639,1528,1599.52,2054995,465,تبرك-ت
20180625,1608.83,1749,1609,1670.64,4423846,651,تبرك-ت
20180626,1608.83,1609,1524,1564.80,1254922,209,تبرك-ت
20180627,1525.00,1617,1525,1592.74,1752462,269,تبرك-ت
20180630,1596.98,1634,1533,1579.19,636663,125,تبرك-ت
20180701,1585.97,1586,1525,1539.40,377693,99,تبرك-ت
20180702,1541.09,1545,1524,1532.62,613302,167,تبرك-ت
20180703,1532.62,1582,1533,1563.95,417662,217,تبرك-ت
20180704,1526.70,1579,1524,1558.87,4131289,615,تبرك-ت
20180707,1566.49,1566,1524,1525.00,410672,118,تبرك-ت
20180708,1524.16,1575,1524,1530.93,1818191,299,تبرك-ت
20180710,1524.16,1550,1524,1528.39,689523,273,تبرك-ت
20180711,1524.16,1539,1490,1515.69,2171891,523,تبرك-ت
20180714,1481.82,1532,1482,1504.68,1060201,202,تبرك-ت
20180715,1498.75,1528,1499,1508.07,513471,192,تبرك-ت
20180716,1508.07,1528,1507,1517.38,510703,236,تبرك-ت
20180717,1507.22,1522,1483,1508.91,592829,138,تبرك-ت
20180718,1507.22,1522,1482,1507.22,17613123,563,تبرك-ت
20180723,1515.69,1516,1356,1469.12,187130,19,تبرك-ت
20180724,1507.22,1543,1507,1520.77,456908,179,تبرك-ت
20180725,1524.16,1527,1490,1513.99,648342,92,تبرك-ت
20180728,1524.16,1609,1524,1534.32,20991195,2074,تبرك-ت
20180729,1545.32,1583,1524,1533.47,1160782,137,تبرك-ت
20180730,1543.63,1566,1544,1553.79,643932,141,تبرك-ت
20180731,1525.00,1660,1525,1611.37,2002937,319,تبرك-ت
20180806,1730.14,1768,1628,1711.44,615811,118,تبرك-ت
20180807,1748.85,1749,1610,1687.12,1058962,192,تبرك-ت
20180808,1703.02,1730,1653,1687.12,482654,101,تبرك-ت
20180811,1683.38,1701,1637,1672.16,376554,110,تبرك-ت
20180812,1692.73,1693,1609,1645.04,622016,121,تبرك-ت
20180813,1615.11,1678,1614,1659.07,403671,118,تبرك-ت
20180814,1677.77,1678,1615,1648.78,209736,75,تبرك-ت
20180815,1671.22,1674,1518,1648.78,616010,127,تبرك-ت
20180818,1677.77,1727,1647,1689.93,1082163,158,تبرك-ت
20180819,1692.73,1693,1590,1653.46,869637,144,تبرك-ت
20180820,1671.22,1671,1610,1643.17,781388,148,تبرك-ت
20180821,1681.51,1682,1637,1647.84,310236,76,تبرك-ت
20180825,1660.00,1679,1620,1660.00,285248,85,تبرك-ت
20180826,1664.68,1730,1665,1696.47,1047391,192,تبرك-ت
20180827,1720.79,1721,1666,1689.93,842728,130,تبرك-ت
20180828,1717.98,1768,1667,1712.37,1261069,175,تبرك-ت
20180829,1732.95,1884,1733,1877.91,3661697,298,تبرك-ت
20180901,1904.09,2057,1887,1993.87,328237,56,تبرك-ت
20180902,1925.60,1942,1734,1875.10,894156,200,تبرك-ت
20180903,1870.42,2038,1824,1929.34,2455369,309,تبرك-ت
20180904,1929.34,1964,1824,1853.59,48532667,2680,تبرك-ت
20180905,1975.17,2039,1880,1926.54,58601986,4606,تبرك-ت
20180908,2111.71,2119,2065,2108.90,53113248,3941,تبرك-ت
20180909,2197.75,2308,2120,2253.86,2531267,224,تبرك-ت
20180910,2303.43,2431,2115,2252.93,53943127,3946,تبرك-ت
20180911,2309.97,2338,2180,2234.22,10171219,1175,تبرك-ت
20180912,2244.51,2335,2198,2245.44,15392436,1846,تبرك-ت
20180915,2244.51,2301,2133,2211.78,11004964,1473,تبرك-ت
20180916,2188.40,2198,2104,2148.18,9516032,912,تبرك-ت
20180917,2215.52,2244,2170,2213.65,8245339,845,تبرك-ت
20180918,2273.50,2274,2221,2241.70,8279946,884,تبرك-ت
20180922,2291.27,2353,2273,2335.22,8787621,751,تبرك-ت
20180923,2447.45,2451,2362,2405.37,36664744,2143,تبرك-ت
20180924,2525.07,2525,2524,2525.07,39279452,2000,تبرك-ت
20180925,2651.33,2651,2562,2646.65,20760991,1391,تبرك-ت
20180926,2778.52,2779,2779,2778.52,2273313,94,تبرك-ت
20180929,2916.93,2917,2917,2916.93,507500,43,تبرك-ت
20180930,3061.88,3062,3062,3061.88,1003253,23,تبرك-ت
20181001,3214.32,3214,2909,2998.29,28947538,2052,تبرك-ت
20181002,2848.66,2849,2849,2848.66,586496,40,تبرك-ت
20181003,2706.50,2707,2707,2706.50,3284114,193,تبرك-ت
20181006,2571.83,2664,2572,2579.32,13581958,1014,تبرك-ت
20181007,2451.19,2451,2451,2451.19,780468,50,تبرك-ت
20181008,2328.68,2329,2329,2328.68,22996,2,تبرك-ت
20181009,2356.73,2445,2239,2257.60,31805100,2070,تبرك-ت
20181010,2188.40,2282,2145,2198.68,6066711,571,تبرك-ت
