<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20190724,12996.00,12996,11697,12138.00,1090434,793,خفولاح-ت
20190727,12200.00,12429,11500,11925.00,417638,379,خفولاح-ت
20190728,12000.00,12000,10980,11157.00,291658,296,خفولاح-ت
20190729,10042.00,12160,10042,11655.00,575619,451,خفولاح-ت
20190730,11800.00,12744,11800,12268.00,359246,242,خفولاح-ت
20190731,12649.00,12649,11900,12079.00,304100,229,خفولاح-ت
20190803,11505.00,13286,11505,13067.00,1498717,478,خفولاح-ت
20190804,13000.00,13284,12280,12487.00,169266,131,خفولاح-ت
20190805,12212.00,12980,12212,12377.00,207729,118,خفولاح-ت
20190806,12837.00,12837,12000,12222.00,411131,140,خفولاح-ت
20190807,11805.00,12400,11805,12044.00,572969,142,خفولاح-ت
20190810,11851.00,12350,11851,12144.00,179176,105,خفولاح-ت
20190811,12061.00,12419,11800,11992.00,334035,175,خفولاح-ت
20190813,12000.00,13188,11625,12708.00,355521,235,خفولاح-ت
20190814,13191.00,13494.00,12611.00,13217.00,501706,286,خفولاح-ت
