<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20140222,399.86,400,400,399.86,1000,1,ودانا-ت
20140304,399.86,400,400,399.86,150,2,ودانا-ت
20150114,399.86,400,400,399.86,1925,2,ودانا-ت
20150308,399.86,400,400,399.86,75,1,ودانا-ت
20150623,399.86,400,400,399.86,1000,1,ودانا-ت
20150705,399.86,400,400,399.86,2000,2,ودانا-ت
20160510,399.86,400,400,399.86,2000,3,ودانا-ت
20170123,418.03,418,418,418.03,1000,1,ودانا-ت
20170520,418.40,418,418,418.40,2850,3,ودانا-ت
20170610,418.40,418,418,418.40,1000,1,ودانا-ت
20170620,418.40,418,418,418.40,1000,1,ودانا-ت
20180123,460.20,460,460,460.20,4450,27,ودانا-ت
20180415,506.00,506,506,506.00,600,6,ودانا-ت
20190415,510.00,510,510,510.00,200,2,ودانا-ت
