<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20181017,3243.73,3244,3244,3243.73,32534000,212123,Pars Agro.-a
20181020,3405.91,3406,3406,3295.63,45973,344,Pars Agro.-a
20181021,3459.67,3460,3460,3459.67,143220,487,Pars Agro.-a
20181022,3632.05,3632,3632,3632.05,155455,1031,Pars Agro.-a
20181023,3812.77,3813,3813,3812.77,161385,1068,Pars Agro.-a
20181024,4002.76,4003,4003,4002.76,212388,1460,Pars Agro.-a
20181027,4202.02,4202,4202,4202.02,283993,1938,Pars Agro.-a
20181028,4411.47,4411,4411,4411.47,2345339,2409,Pars Agro.-a
20181029,4632.04,4632,4632,4632.04,294021,1995,Pars Agro.-a
20181031,4862.81,4863,4863,4862.81,4357395,2558,Pars Agro.-a
20181103,5105.63,5106,5106,5105.63,2920019,2385,Pars Agro.-a
20181104,5360.49,5360,5360,5360.49,2914456,2375,Pars Agro.-a
20181105,5628.33,5628,5628,5628.33,2793630,2088,Pars Agro.-a
20181106,5909.14,5909,5909,5909.14,3268731,5236,Pars Agro.-a
20181110,6203.86,6204,6204,6172.35,116040,636,Pars Agro.-a
20181111,6480.97,6804,6481,6783.10,5213966,16512,Pars Agro.-a
20181112,7121.37,7121,7121,7121.37,1182897,5325,Pars Agro.-a
20181113,7477.26,7477,7477,7477.26,288314,1960,Pars Agro.-a
20181114,7850.75,7851,7851,7757.14,97446,637,Pars Agro.-a
20181119,8144.54,8551,7738,8491.15,29269428,70485,Pars Agro.-a
20181120,8802.55,8916,8555,8874.84,33135790,39689,Pars Agro.-a
20181121,8832.21,9008,8432,8515.25,16462185,25389,Pars Agro.-a
20181124,8257.60,8314,8090,8121.37,3208089,3668,Pars Agro.-a
20181126,7715.44,7715,7715,7715.44,2363419,1559,Pars Agro.-a
20181127,7329.90,7924,7330,7478.18,10188481,11879,Pars Agro.-a
20181128,7553.25,7646,7139,7383.65,2778420,4254,Pars Agro.-a
20181201,7182.54,7210,7015,7017.57,7517031,2268,Pars Agro.-a
20181202,6951.77,7182,6776,7009.23,2686020,3448,Pars Agro.-a
20181203,7321.56,7360,7229,7353.99,3822004,1675,Pars Agro.-a
20181204,7437.40,7588,7081,7302.09,1894842,1638,Pars Agro.-a
20181205,7062.06,7312,6942,7072.25,1981093,1816,Pars Agro.-a
20181208,7043.52,7085,6756,6828.51,2573584,2096,Pars Agro.-a
20181209,6760.85,6765,6487,6527.31,3827499,2080,Pars Agro.-a
20181210,6496.72,6854,6492,6781.24,2586852,1878,Pars Agro.-a
20181211,6852.61,6853,6538,6654.28,1005476,1045,Pars Agro.-a
20181212,6654.28,6858,6552,6645.93,1373353,2058,Pars Agro.-a
20181215,6672.81,6673,6314,6385.51,2078325,1566,Pars Agro.-a
20181216,6303.95,6320,6098,6164.01,1433671,1051,Pars Agro.-a
20181217,6165.86,6395,6119,6275.22,1274199,1094,Pars Agro.-a
20181218,6366.97,6367,6080,6176.98,652123,805,Pars Agro.-a
20181219,6177.91,6200,6024,6098.21,589593,555,Pars Agro.-a
20181222,6100.06,6205,6024,6113.96,583562,577,Pars Agro.-a
20181223,6033.33,6348,6033,6213.13,952982,772,Pars Agro.-a
20181224,6126.01,6357,6118,6237.22,1040861,706,Pars Agro.-a
20181225,6303.03,6487,6219,6392.00,604160,716,Pars Agro.-a
20181226,6320.63,6359,6209,6286.34,507882,586,Pars Agro.-a
20181229,6301.17,6346,6192,6238.15,448138,459,Pars Agro.-a
20181230,6209.42,6525,6209,6412.39,1173076,834,Pars Agro.-a
20181231,6533.79,6534,6310,6404.97,624643,496,Pars Agro.-a
20190101,6308.59,6405,6256,6310.44,1234990,663,Pars Agro.-a
20190102,6311.37,6626,6284,6483.75,2513446,1205,Pars Agro.-a
20190105,6663.54,6727,6506,6640.37,824166,843,Pars Agro.-a
20190106,6625.54,6972,6586,6927.67,3203185,1213,Pars Agro.-a
20190107,6987.92,7136,6817,6951.77,1700577,907,Pars Agro.-a
20190108,6839.63,6996,6784,6929.53,1334092,761,Pars Agro.-a
20190109,6876.70,7169,6877,7084.30,787719,752,Pars Agro.-a
20190112,7265.95,7395,7099,7340.09,1209326,922,Pars Agro.-a
20190113,7318.78,7507,7319,7379.02,1416597,1064,Pars Agro.-a
20190114,7495.79,7496,7319,7379.94,799548,451,Pars Agro.-a
20190115,7433.70,7434,7011,7163.08,1499696,675,Pars Agro.-a
20190116,7228.88,7414,7136,7252.97,1146265,541,Pars Agro.-a
20190119,7151.96,7460,7152,7363.26,701544,416,Pars Agro.-a
