<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20190505,257105.00,284167,257105,276725.00,80
20190630,262889.00,262889,262889,262889.00,4
20190701,249745.00,249745,249745,249745.00,4
20190707,240000.00,240000,240000,240000.00,4
20190708,228000.00,228000,228000,228000.00,5
20190710,216600.00,216600,216600,216600.00,5
20190714,205770.00,216600,205770,215517.00,10
20190715,204742.00,204742,204742,204742.00,5
20190716,194505.00,194505,194505,194505.00,6
20190720,184780.00,184780,184780,184780.00,1
20190722,190000.00,190000,190000,190000.00,7
20190730,180500.00,180500,180500,180500.00,44
20190803,180550.00,189500,180550,185191.00,27
20190804,175932.00,177000,175932,176288.00,18
20190807,167474.00,167474,167474,167474.00,2
20190811,160000.00,160000,160000,160000.00,6
