<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20180522,660000.00,660000,660000,660000.00,140,5,Mortgage Right9702-a
20180523,660010.00,661101,631000,640465.00,91330,6819,Mortgage Right9702-a
20180526,651355.00,670000,631000,639895.00,79759,7191,Mortgage Right9702-a
20180527,650000.00,652000,635001,644955.00,87534,8512,Mortgage Right9702-a
20180528,645000.00,665000,645000,655194.00,59261,5700,Mortgage Right9702-a
20180529,664000.00,685000,653777,663749.00,47876,4626,Mortgage Right9702-a
20180530,666666.00,670000,635223,655149.00,49828,4733,Mortgage Right9702-a
20180602,657000.00,670000,623000,662628.00,36479,2984,Mortgage Right9702-a
20180603,665000.00,665000,645001,655873.00,26364,2819,Mortgage Right9702-a
20180609,653000.00,670000,650009,656223.00,39911,3300,Mortgage Right9702-a
20180610,650433.00,660000,645398,654576.00,33381,2450,Mortgage Right9702-a
20180611,660800.00,668000,650000,659890.00,30262,2417,Mortgage Right9702-a
20180612,664990.00,685000,662000,669585.00,31467,1885,Mortgage Right9702-a
20180613,684000.00,703064,670350,685604.00,39332,2811,Mortgage Right9702-a
20180617,685555.00,719884,685024,705170.00,32553,1913,Mortgage Right9702-a
20180618,706011.00,720000,695689,704214.00,32118,2143,Mortgage Right9702-a
20180619,710000.00,720000,690000,706124.00,29612,1883,Mortgage Right9702-a
20180620,706008.00,715000,675000,705599.00,18079,1191,Mortgage Right9702-a
20180623,700010.00,720000,700010,708096.00,22212,1368,Mortgage Right9702-a
20180624,692667.00,702900,672692,678524.00,9534,1028,Mortgage Right9702-a
20180625,680000.00,700000,644598,671766.00,11117,1289,Mortgage Right9702-a
20180626,671222.00,700000,645000,670995.00,9545,1296,Mortgage Right9702-a
20180627,690000.00,690000,666544,675681.00,9157,1097,Mortgage Right9702-a
20180630,690000.00,700000,670000,683997.00,11236,1251,Mortgage Right9702-a
20180701,684111.00,690000,676420,682638.00,10544,1054,Mortgage Right9702-a
20180702,680000.00,700000,678000,683960.00,8243,903,Mortgage Right9702-a
20180703,686555.00,698000,670000,689643.00,9866,905,Mortgage Right9702-a
20180704,686009.00,698000,674210,688687.00,9171,913,Mortgage Right9702-a
20180707,685000.00,710000,680099,690288.00,6379,591,Mortgage Right9702-a
20180708,700000.00,708975,690001,697973.00,7061,525,Mortgage Right9702-a
20180710,696010.00,720000,690522,705528.00,5370,395,Mortgage Right9702-a
20180711,700000.00,710001,685522,701324.00,7284,352,Mortgage Right9702-a
20180714,691500.00,709880,666258,693678.00,14532,1148,Mortgage Right9702-a
20180715,686122.00,702000,660000,691887.00,9806,661,Mortgage Right9702-a
20180716,680123.00,699480,672001,687552.00,10135,791,Mortgage Right9702-a
20180717,682222.00,700000,671520,688555.00,9437,761,Mortgage Right9702-a
20180718,681500.00,699000,657222,685808.00,7622,588,Mortgage Right9702-a
20180721,680000.00,694000,660000,684257.00,13644,902,Mortgage Right9702-a
20180722,680123.00,695000,660000,682992.00,8860,711,Mortgage Right9702-a
20180723,674007.00,698000,663010,684643.00,7939,665,Mortgage Right9702-a
20180724,684700.00,690000,650411,664765.00,3167,436,Mortgage Right9702-a
20180725,660000.00,680000,651233,665510.00,4519,583,Mortgage Right9702-a
20180728,647600.00,695000,647600,666023.00,3669,449,Mortgage Right9702-a
20180729,659000.00,677700,650000,663114.00,6183,747,Mortgage Right9702-a
20180730,660145.00,680000,654000,664389.00,6889,715,Mortgage Right9702-a
20180731,660256.00,679900,660256,667268.00,5510,616,Mortgage Right9702-a
20180801,660200.00,690000,660000,668203.00,3700,485,Mortgage Right9702-a
20180804,670099.00,690000,655009,670786.00,5886,559,Mortgage Right9702-a
20180805,695000.00,695000,650126,671137.00,8209,617,Mortgage Right9702-a
20180806,680000.00,700000,657229,674445.00,8801,641,Mortgage Right9702-a
20180807,671050.00,689000,650010,673808.00,7603,583,Mortgage Right9702-a
20180808,697000.00,699900,650000,672695.00,8048,590,Mortgage Right9702-a
20180811,667444.00,690000,661129,674044.00,6453,584,Mortgage Right9702-a
20180812,673555.00,687699,665000,674212.00,7104,592,Mortgage Right9702-a
20180813,670000.00,680000,665000,672740.00,5447,505,Mortgage Right9702-a
20180814,660900.00,680000,660000,669913.00,5727,471,Mortgage Right9702-a
20180815,662722.00,679878,640000,665163.00,5085,443,Mortgage Right9702-a
20180818,665211.00,680000,631905,660736.00,6814,493,Mortgage Right9702-a
20180819,662000.00,670000,650323,662687.00,5357,414,Mortgage Right9702-a
20180820,645658.00,670000,631229,661139.00,6209,432,Mortgage Right9702-a
20180821,641023.00,670000,641020,662925.00,5096,392,Mortgage Right9702-a
20180825,641100.00,679998,629779,666464.00,5609,464,Mortgage Right9702-a
20180826,642500.00,670000,633141,646848.00,3065,374,Mortgage Right9702-a
20180827,646000.00,659820,630100,643950.00,2371,221,Mortgage Right9702-a
20180828,650000.00,651000,639001,645360.00,2669,304,Mortgage Right9702-a
20180829,633198.00,670000,633198,651568.00,2756,307,Mortgage Right9702-a
20180901,655133.00,680000,644099,657451.00,3582,343,Mortgage Right9702-a
20180902,658400.00,670000,640000,652659.00,2580,352,Mortgage Right9702-a
20180903,640150.00,666666,640150,653837.00,3376,358,Mortgage Right9702-a
20180904,644000.00,659000,621146,652404.00,3509,314,Mortgage Right9702-a
20180905,650001.00,670000,642015,652505.00,2628,290,Mortgage Right9702-a
20180908,660000.00,667000,632000,657956.00,4705,447,Mortgage Right9702-a
20180909,650043.00,665000,640000,653215.00,4703,456,Mortgage Right9702-a
20180910,650113.00,665000,630000,653160.00,4240,371,Mortgage Right9702-a
20180911,632701.00,660000,630111,649307.00,4659,387,Mortgage Right9702-a
20180912,659000.00,670000,625215,653339.00,6300,503,Mortgage Right9702-a
20180915,641111.00,664000,621005,637458.00,9400,488,Mortgage Right9702-a
20180916,625000.00,637450,612700,628089.00,5782,352,Mortgage Right9702-a
20180917,630333.00,650000,630000,640976.00,5112,352,Mortgage Right9702-a
20180918,635888.00,658488,630000,644355.00,4039,338,Mortgage Right9702-a
20180922,632555.00,650000,620009,639297.00,3988,306,Mortgage Right9702-a
20180923,640500.00,653000,607333,643117.00,3318,276,Mortgage Right9702-a
20180924,620018.00,644000,610962,626505.00,1334,159,Mortgage Right9702-a
20180925,610130.00,628000,595180,607338.00,1683,225,Mortgage Right9702-a
20180926,580222.00,615000,576972,599119.00,2862,324,Mortgage Right9702-a
20180929,605555.00,620000,572000,601703.00,2954,333,Mortgage Right9702-a
