<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20171115,3498.00,3500,3498,3498.00,10379,6,نمرينوح-ت
20171118,3847.00,3847,3847,3847.00,342,4,نمرينوح-ت
20171120,4231.00,4231,4231,4231.00,896,3,نمرينوح-ت
20171121,4654.00,4654,4654,4654.00,10833,6,نمرينوح-ت
20171122,5119.00,5119,5119,5119.00,40675,21,نمرينوح-ت
20171126,5596.00,5553,5199,5248.00,3129,3,نمرينوح-ت
20171210,4724.00,4724,4724,4724.00,10,1,نمرينوح-ت
20171211,4252.00,4252,4252,4252.00,10320,10,نمرينوح-ت
20171212,4100.00,4100,4100,4100.00,87585,3,نمرينوح-ت
20171217,3710.00,3710,3710,3710.00,10000,4,نمرينوح-ت
20171218,3800.00,4080,3800,3807.00,25631,9,نمرينوح-ت
20171219,4000.00,4000,4000,4000.00,5586,4,نمرينوح-ت
20171220,4000.00,4000,4000,4000.00,957,1,نمرينوح-ت
20180613,4110.00,4150,4110,4114.00,110000,6,نمرينوح-ت
20180617,4200.00,4200,4200,4200.00,230000,6,نمرينوح-ت
20180618,4000.00,4300,4000,4167.00,129000,4,نمرينوح-ت
20180619,4300.00,4583,4300,4509.00,206888,7,نمرينوح-ت
