<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20031029,3350.00,3350,3350,3350.00,200000,24,Sepahan Group-R-a
20031102,3350.00,3350,3350,3350.00,200540,14,Sepahan Group-R-a
20031103,3301.00,3350,3301,3350.00,871976,10,Sepahan Group-R-a
20031104,3300.00,3315,3300,3300.00,688304,18,Sepahan Group-R-a
20031105,3315.00,3330,3315,3326.00,1840203,45,Sepahan Group-R-a
20031108,3327.00,3327,3327,3327.00,1216,4,Sepahan Group-R-a
20031109,3340.00,3340,3340,3340.00,549070,2,Sepahan Group-R-a
20031110,3345.00,3345,3340,3340.00,425988,6,Sepahan Group-R-a
20031112,3350.00,3350,3340,3340.00,378944,6,Sepahan Group-R-a
20031117,3360.00,3362,3360,3362.00,313020,8,Sepahan Group-R-a
20031118,3363.00,3363,3363,3363.00,784240,11,Sepahan Group-R-a
20031122,3363.00,3363,3363,3363.00,163012,28,Sepahan Group-R-a
20031124,3363.00,3363,3363,3363.00,447551,15,Sepahan Group-R-a
20031129,3450.00,3450,3430,3436.00,639345,37,Sepahan Group-R-a
20031201,3430.00,3500,3430,3500.00,286436,15,Sepahan Group-R-a
20031203,3500.00,3500,3500,3500.00,277156,14,Sepahan Group-R-a
20040106,3600.00,3600,3600,3600.00,18519,2,Sepahan Group-R-a
