<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20031029,3350.00,3350,3350,3350.00,200000
20031102,3350.00,3350,3350,3350.00,200540
20031103,3301.00,3350,3301,3350.00,871976
20031104,3300.00,3315,3300,3300.00,688304
20031105,3315.00,3330,3315,3326.00,1840203
20031108,3327.00,3327,3327,3327.00,1216
20031109,3340.00,3340,3340,3340.00,549070
20031110,3345.00,3345,3340,3340.00,425988
20031112,3350.00,3350,3340,3340.00,378944
20031117,3360.00,3362,3360,3362.00,313020
20031118,3363.00,3363,3363,3363.00,784240
20031122,3363.00,3363,3363,3363.00,163012
20031124,3363.00,3363,3363,3363.00,447551
20031129,3450.00,3450,3430,3436.00,639345
20031201,3430.00,3500,3430,3500.00,286436
20031203,3500.00,3500,3500,3500.00,277156
20040106,3600.00,3600,3600,3600.00,18519
