<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20010703,4750.00,4750,4750,4750.00,641,4,دفاراح-ت
20020421,8000.00,8000,7000,7500.00,6500,6,دفاراح-ت
20020422,7600.00,7600,7600,7600.00,1000,1,دفاراح-ت
20020423,7750.00,7750,7750,7750.00,178,1,دفاراح-ت
20020424,8001.00,8200,8001,8200.00,3749,11,دفاراح-ت
20020429,8404.00,9000,8404,9000.00,18730,8,دفاراح-ت
20020430,9010.00,9010,9010,9010.00,152,1,دفاراح-ت
20020501,9200.00,9200,9200,9200.00,4000,12,دفاراح-ت
20020504,9202.00,9206,9202,9205.00,2207,14,دفاراح-ت
20020505,9221.00,9221,9221,9221.00,762,3,دفاراح-ت
20020617,7202.00,7220,7200,7220.00,32839,11,دفاراح-ت
20040602,13136.00,13136,13136,13136.00,817,1,دفاراح-ت
20160829,7002.00,7400,7002,7007.00,7813,15,دفاراح-ت
20160830,7000.00,7002,6807,6955.00,70490,43,دفاراح-ت
20160831,6700.00,6713,6700,6711.00,3610,5,دفاراح-ت
20160903,6613.00,6613,6042,6164.00,6566,7,دفاراح-ت
20160904,6150.00,6780,6150,6680.00,2071,12,دفاراح-ت
20160905,6698.00,6800,6655,6707.00,3046,8,دفاراح-ت
20160906,6707.00,6707,6707,6707.00,427,2,دفاراح-ت
20160907,6607.00,6607,6607,6607.00,666,1,دفاراح-ت
20160910,6409.00,6690,6409,6508.00,566,2,دفاراح-ت
20160911,6680.00,6690,6680,6689.00,5528,5,دفاراح-ت
20160913,6550.00,6690,6550,6623.00,240,2,دفاراح-ت
20160914,6623.00,6624,6623,6624.00,2913,4,دفاراح-ت
20160917,6232.00,6850,6232,6743.00,6230,11,دفاراح-ت
20160918,6406.00,6620,6405,6416.00,1390,3,دفاراح-ت
20160919,6406.00,6406,6406,6406.00,983,1,دفاراح-ت
20160921,6451.00,6451,6412,6446.00,2177,6,دفاراح-ت
20160924,6521.00,7050,6478,6713.00,7179,15,دفاراح-ت
20160925,6700.00,6700,6552,6608.00,535,2,دفاراح-ت
20160926,7000.00,7268,7000,7263.00,364888,32,دفاراح-ت
20160927,7500.00,7979,7263,7279.00,15730,27,دفاراح-ت
20160928,7500.00,7500,7500,7500.00,7000,4,دفاراح-ت
20161002,7595.00,7595,7100,7119.00,3772,6,دفاراح-ت
20161003,7800.00,7800,7800,7800.00,138,1,دفاراح-ت
20161004,7500.00,7500,7500,7500.00,250,1,دفاراح-ت
20161005,7425.00,7425,7200,7301.00,1750,11,دفاراح-ت
20161009,7370.00,7370,7006,7174.00,549,6,دفاراح-ت
20161010,7021.00,7352,7021,7246.00,263,3,دفاراح-ت
20161015,7354.00,7354,7246,7249.00,24487,9,دفاراح-ت
20161016,7249.00,7425,7249,7250.00,37264,15,دفاراح-ت
20161017,7440.00,7975,7440,7972.00,588618,40,دفاراح-ت
20161018,7180.00,7305,7180,7289.00,15484,12,دفاراح-ت
20170503,6800.00,6800,6800,6800.00,9687,1,دفاراح-ت
20170506,6850.00,6850,6800,6833.00,60000,7,دفاراح-ت
20190713,13500.00,14850,13500,13951.00,3295166,1081,دفاراح-ت
20190714,13822.00,14550,13611,14012.00,704901,431,دفاراح-ت
20190715,13903.00,14200,13900,14053.00,769269,248,دفاراح-ت
20190716,13702.00,14000,12648,12737.00,2750548,403,دفاراح-ت
20190717,12800.00,14000,12740,13488.00,608625,204,دفاراح-ت
20190720,13800.00,14000,13201,13805.00,590561,227,دفاراح-ت
20190721,13002.00,13550,13002,13243.00,299198,159,دفاراح-ت
20190722,13351.00,13351,12300,12653.00,454506,186,دفاراح-ت
20190723,12003.00,12895,12003,12282.00,663592,174,دفاراح-ت
20190724,12800.00,13097,12700,12813.00,621604,165,دفاراح-ت
20190727,13340.00,13950,12507,13344.00,715035,251,دفاراح-ت
20190728,13100.00,13870,13000,13222.00,359489,137,دفاراح-ت
20190729,13400.00,13400,12800,12980.00,311488,105,دفاراح-ت
20190730,12751.00,13000,12751,12896.00,220752,89,دفاراح-ت
20190731,12651.00,13350,12650,13057.00,608774,97,دفاراح-ت
20190803,12800.00,14000,12800,13626.00,744831,268,دفاراح-ت
20190804,14000.00,14988,14000,14918.00,898525,211,دفاراح-ت
20190805,16409.00,16409,15387,16368.00,1791906,426,دفاراح-ت
20190806,17485.00,17485,14800,16544.00,792172,295,دفاراح-ت
20190807,16800.00,16800,15060,16227.00,587297,244,دفاراح-ت
20190810,16749.00,16749,15400,15661.00,668770,193,دفاراح-ت
20190811,16000.00,16000,15400,15486.00,81437,31,دفاراح-ت
20190814,15300.00,16000.00,15150.00,15424.00,427500,194,دفاراح-ت
