<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20021130,6300.00,6900,6300,6900.00,3000,3,غمهراح-ت
20021201,7000.00,7000,7000,7000.00,2500,3,غمهراح-ت
20021204,5599.00,5999,5599,5999.00,13020,7,غمهراح-ت
20021209,5997.00,5997,5997,5997.00,823,1,غمهراح-ت
20021211,5964.00,6500,5964,5999.00,24538,15,غمهراح-ت
20021214,6460.00,6460,6460,6460.00,230,1,غمهراح-ت
20021215,6370.00,6370,6370,6370.00,4135,6,غمهراح-ت
20021217,6000.00,6283,6000,6283.00,21000,10,غمهراح-ت
20021221,6042.00,6042,6042,6042.00,1220,2,غمهراح-ت
20021229,5876.00,5876,5876,5876.00,643,2,غمهراح-ت
20021231,5796.00,5796,5599,5599.00,3855,8,غمهراح-ت
20030101,5593.00,5593,5411,5491.00,32920,21,غمهراح-ت
20030104,5593.00,5700,5593,5700.00,24202,14,غمهراح-ت
20030105,5700.00,5700,5600,5600.00,18454,16,غمهراح-ت
20030106,5500.00,5500,5410,5410.00,29526,13,غمهراح-ت
20030107,5299.00,5300,5274,5274.00,2080,4,غمهراح-ت
20030108,5249.00,5262,5200,5262.00,58585,39,غمهراح-ت
20030111,5499.00,5600,5499,5600.00,7779,5,غمهراح-ت
20030112,5700.00,5900,5650,5850.00,45275,31,غمهراح-ت
20030113,6101.00,6102,5900,5999.00,66106,48,غمهراح-ت
20030114,5500.00,5533,5300,5400.00,122509,62,غمهراح-ت
20030115,5300.00,5400,5000,5347.00,2414984,123,غمهراح-ت
20030204,4500.00,4500,4500,4500.00,353164,10,غمهراح-ت
