<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20170618,2850.00,2850,2850,2850.00,46397
20170619,2992.00,2992,2992,2992.00,63605
20170620,3141.00,3141,3141,3141.00,327944
20170621,3298.00,3298,3298,3298.00,401637
20170624,3298.00,3440,3134,3272.00,576386
20170625,3320.00,3320,3300,3304.00,132368
20170628,3350.00,3383,3310,3327.00,128117
20170701,3333.00,3350,3295,3334.00,500305
20170702,3338.00,3390,3300,3342.00,259850
20170703,3345.00,3388,3200,3310.00,282361
20170704,3341.00,3341,3201,3282.00,195532
20170705,3260.00,3300,3149,3241.00,103400
20170708,3241.00,3241,3130,3231.00,151523
20170709,3080.00,3084,3070,3077.00,43450
20170710,2950.00,3170,2928,2998.00,23500
20170711,2864.00,3095,2864,2999.00,44915
20170809,3800.00,3900,3800,3812.00,104736
20171018,3950.00,3950,3902,3922.00,334682
20180505,2800.00,2800,2800,2800.00,245565
20180506,2873.00,2873,2660,2685.00,3765179
20180507,2660.00,2819,2660,2764.00,1696954
20180508,2902.00,2902,2902,2902.00,971000
20180509,3047.00,3047,2906,3044.00,10282213
20180512,2904.00,3084,2904,3015.00,1928160
20180513,3100.00,3159,2905,3058.00,2300818
20180514,2941.00,3070,2906,2918.00,1806242
20180515,2979.00,2979,2780,2801.00,375553
20180516,2839.00,2898,2742,2808.00,687044
20180519,2908.00,2909,2840,2868.00,310844
20180520,2881.00,2882,2730,2774.00,302238
20180521,2797.00,2797,2690,2748.00,491207
20180522,2674.00,2678,2611,2616.00,1105271
20180523,2609.00,2698,2510,2607.00,292116
20180526,2520.00,2590,2520,2550.00,293720
20180527,2480.00,2578,2423,2442.00,349007
20180528,2520.00,2520,2400,2473.00,305347
20180529,2490.00,2500,2371,2399.00,101817
20180530,2485.00,2518,2370,2470.00,800591
20180602,2564.00,2593,2518,2583.00,434183
20180603,2650.00,2650,2488,2519.00,525925
20180609,2554.00,2554,2394,2424.00,714999
20180610,2404.00,2449,2330,2377.00,52897
20180611,2395.00,2446,2300,2339.00,326399
20180612,2275.00,2452,2273,2350.00,1403794
20180613,2311.00,2465,2311,2433.00,820203
20180617,2540.00,2554,2540,2554.00,721283
20180618,2681.00,2681,2490,2615.00,1633756
20180619,2486.00,2584,2485,2503.00,1475527
20180620,2445.00,2589,2410,2467.00,1440834
20180623,2396.00,2430,2371,2387.00,753128
20180624,2464.00,2489,2294,2382.00,1775076
20180625,2312.00,2495,2312,2430.00,1632582
20180626,2390.00,2390,2309,2317.00,1624844
20180627,2235.00,2400,2204,2294.00,2211335
20180821,3000.00,3000,3000,3000.00,1580453
20180825,3060.00,3060,3000,3007.00,1128500
20180826,3030.00,3030,3000,3010.00,622497
20180827,3070.00,3070,3070,3070.00,2580884
