<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20110810,380.00,410,350,393.00,388285
20110813,424.00,424,424,424.00,10
20110814,457.00,457,457,457.00,4450
20110815,493.00,493,493,493.00,102503
20110816,532.00,532,532,532.00,2515
20110817,574.00,574,574,574.00,4380
20110820,619.00,619,619,619.00,380133
20110821,655.00,655,570,580.00,501071
20110823,534.00,590,534,544.00,234525
20110824,531.00,560,531,546.00,155201
20110827,525.00,530,503,509.00,314154
20110828,535.00,535,532,534.00,60010
20110829,500.00,550,492,512.00,125414
20110830,522.00,485,481,483.00,102500
20110903,450.00,465,445,449.00,38567
20110904,478.00,484,478,482.00,27720
20110905,509.00,509,450,487.00,60451
20110906,500.00,500,450,469.00,249890
20110907,445.00,475,435,450.00,739086
20110910,450.00,475,450,455.00,314036
20110911,468.00,483,460,474.00,633355
20110912,470.00,470,461,461.00,75908
20110913,450.00,458,430,446.00,101352
20110914,433.00,450,433,437.00,17230
20110917,420.00,465,420,451.00,146613
20110918,436.00,450,436,445.00,145404
20110919,428.00,441,425,439.00,282256
20110920,420.00,430,404,411.00,219292
20110921,410.00,410,379,389.00,1411176
20110927,401.00,401,390,397.00,27769
20110928,405.00,428,400,412.00,741431
20120227,160.00,160,160,160.00,29524018
20120228,160.00,160,160,160.00,29500000
20120229,160.00,160,160,160.00,8500000
20121230,600.00,604,552,570.00,3615511
20121231,567.00,615,525,600.00,7282661
20130101,639.00,648,610,637.00,5110597
20130102,640.00,666,626,648.00,1668356
20130106,645.00,679,597,606.00,1477132
20130107,629.00,636,580,603.00,1069947
20130108,600.00,651,600,644.00,1663029
20130109,644.00,669,615,637.00,1068618
20130113,663.00,663,588,613.00,2089960
20130114,600.00,630,570,599.00,847263
20130115,596.00,624,576,595.00,437155
20130116,590.00,620,590,612.00,315442
20130119,600.00,600,564,570.00,2304159
20130120,564.00,573,552,562.00,339142
20130121,552.00,568,518,533.00,735216
20130122,500.00,500,491,493.00,391494
20130123,495.00,517,492,500.00,1118521
20130126,532.00,540,460,498.00,1144104
20130127,465.00,465,459,461.00,277512
20130128,425.00,439,425,426.00,906847
20130130,395.00,407,392,392.00,566559
20130202,372.00,409,371,393.00,337420
20130203,419.00,419,362,369.00,347357
20130204,379.00,379,340,340.00,525596
20130205,314.00,339,313,322.00,474336
20130206,344.00,347,328,346.00,662910
20130209,352.00,371,352,368.00,208700
20130211,382.00,382,339,340.00,526689
20130212,335.00,335,313,313.00,499609
20130213,288.00,293,288,288.00,1955892
20130216,310.00,311,265,282.00,5929618
20130217,284.00,284,260,260.00,1294508
20130218,240.00,241,240,240.00,3566782
20130219,241.00,245,221,223.00,3266213
20130220,227.00,227,206,207.00,4514318
20130701,1050.00,1050,1050,1050.00,261625
20130702,1134.00,1134,1100,1106.00,124424
20130703,1060.00,1100,1060,1078.00,9100000
20130706,1160.00,1160,1120,1120.00,13978870
20130708,1100.00,1100,1050,1051.00,126390
20130709,1050.00,1050,1030,1030.00,682000
20130710,1050.00,1052,1050,1050.00,4978351
20130713,1130.00,1050,1030,1033.00,8672400
20130714,1050.00,1055,1000,1019.00,23635676
20130715,1100.00,1100,1052,1056.00,35669709
20150527,467.00,499,452,477.00,9098886
20150530,451.00,469,430,443.00,2527630
20150531,402.00,408,399,400.00,1781788
20150601,360.00,376,360,363.00,5164368
20150602,350.00,375,350,360.00,1963999
20150606,353.00,373,351,365.00,2218200
20150607,379.00,379,360,367.00,1050095
20150608,360.00,360,341,349.00,1230544
20150609,339.00,341,315,328.00,1461075
20150610,300.00,323,300,309.00,1656292
20150613,302.00,320,290,310.00,1418295
20150614,303.00,324,286,298.00,927010
20150615,281.00,295,269,272.00,2725507
20150616,276.00,296,250,285.00,2893780
20150617,310.00,313,309,312.00,2968756
20150620,330.00,336,298,312.00,3630702
20150621,301.00,325,298,309.00,1450330
20150622,304.00,339,304,333.00,4348098
20150623,349.00,366,346,359.00,5359816
20150624,384.00,387,351,373.00,5046376
20150627,352.00,393,352,379.00,1729573
20150628,363.00,363,345,352.00,2382159
20150629,359.00,379,359,368.00,2651657
20150630,376.00,404,376,396.00,5285753
20150701,410.00,434,400,416.00,7295136
20150704,435.00,457,425,456.00,4333285
20150705,501.00,501,461,491.00,8207369
20150706,501.00,525,482,502.00,4465492
20150707,525.00,530,487,517.00,4625710
20150711,490.00,498,466,473.00,8658913
20150712,446.00,495,426,450.00,9072506
20150713,469.00,492,450,478.00,8197486
20150714,495.00,501,436,466.00,6365939
20150715,450.00,453,420,422.00,4857279
20150720,380.00,398,380,380.00,6749579
20150721,380.00,395,345,363.00,4905942
20150722,347.00,360,327,330.00,8736495
20150725,339.00,345,310,330.00,4482691
20150726,305.00,363,305,345.00,9717104
20150727,360.00,379,351,370.00,11681722
20150728,385.00,407,367,405.00,18416176
20150729,416.00,426,390,412.00,12664377
20150801,409.00,411,371,375.00,6161549
20150802,346.00,371,338,357.00,5860863
20150803,376.00,376,331,344.00,5224958
20150804,320.00,344,320,331.00,3651398
20150805,321.00,336,306,315.00,4426378
20150808,309.00,309,284,287.00,8945797
20150809,277.00,280,259,263.00,7203149
20150810,241.00,263,237,242.00,5264014
20150812,226.00,238,222,230.00,8585199
20160111,345.00,345,345,345.00,982608
20160112,379.00,379,379,379.00,1000
20160113,379.00,379,379,379.00,62500
20160116,379.00,379,379,379.00,65999
20160117,379.00,379,379,379.00,30000
20160125,379.00,379,379,379.00,105000
20160126,379.00,379,379,379.00,1073700
20160127,379.00,379,379,379.00,550000
20160130,379.00,379,379,379.00,12000
20160131,350.00,350,350,350.00,760000
20160201,385.00,385,385,385.00,346000
20160202,423.00,423,423,423.00,1334777
20160203,465.00,465,381,381.00,156938282
