<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20040317,977.21,977,977,977.21,165000,43,تكنو-ت
20040328,983.73,984,984,983.73,10000,3,تكنو-ت
20040405,1032.59,1033,1033,1032.59,69500,16,تكنو-ت
20040406,1084.06,1084,1084,1084.06,476000,98,تكنو-ت
20040407,1138.13,1138,1138,1138.13,10000,9,تكنو-ت
20040410,1194.81,1195,1195,1194.81,50000,7,تكنو-ت
20040412,1254.09,1254,1254,1254.09,620000,115,تكنو-ت
20040413,1316.63,1317,1317,1316.63,16000,3,تكنو-ت
20040417,1382.43,1382,1382,1382.43,11000,4,تكنو-ت
20040418,1451.49,1451,1451,1451.49,9175,4,تكنو-ت
20040421,1523.80,1524,1524,1523.80,10000,1,تكنو-ت
20040424,1599.37,1599,1599,1599.37,308440,88,تكنو-ت
20040425,1678.85,1679,1679,1678.85,10000,6,تكنو-ت
20040426,1762.24,1762,1762,1762.24,9500,7,تكنو-ت
20040427,1850.19,1850,1850,1850.19,13600,4,تكنو-ت
20040428,1942.70,1943,1943,1942.70,12500,9,تكنو-ت
20040501,2039.77,2040,1846,1985.70,801207,369,تكنو-ت
20040502,1886.68,1913,1887,1897.10,135636,52,تكنو-ت
20040503,1979.19,1992,1954,1985.70,72524,43,تكنو-ت
20040504,2084.72,2085,2084,2084.07,269282,69,تكنو-ت
20040505,2019.58,2188,2007,2134.24,30451,15,تكنو-ت
20040508,2240.43,2240,2240,2240.43,31145,12,تكنو-ت
20040509,2351.83,2352,2352,2351.83,21500,11,تكنو-ت
20040510,2469.10,2469,2387,2387.01,2672,5,تكنو-ت
20040511,2506.23,2506,2506,2506.23,523519,171,تكنو-ت
20040512,2631.31,2631,2631,2631.31,159557,33,تكنو-ت
20040515,2762.26,2762,2762,2762.26,29933,11,تكنو-ت
20040516,2900.37,2900,2900,2900.37,9322,7,تكنو-ت
20040517,3045.00,3045,3045,3045.00,111000,51,تكنو-ت
20040518,3196.80,3197,2997,3172.69,775336,278,تكنو-ت
20040519,3331.00,3331,3135,3308.20,288787,82,تكنو-ت
20040522,3473.02,3473,3473,3473.02,125485,51,تكنو-ت
20040523,3646.31,3646,3463,3540.77,150930,89,تكنو-ت
20040524,3550.55,3551,3364,3418.95,377658,150,تكنو-ت
20040525,3416.99,3417,3248,3258.69,208387,83,تكنو-ت
20040526,3309.50,3387,3114,3286.70,203512,89,تكنو-ت
20040529,3351.85,3451,3287,3427.42,102667,38,تكنو-ت
20040530,3598.76,3599,3257,3413.09,532321,167,تكنو-ت
20040531,3265.85,3577,3251,3304.29,299779,80,تكنو-ت
20040601,3469.11,3469,3369,3463.90,51938,22,تكنو-ت
20040602,3636.54,3637,3629,3634.59,189883,69,تكنو-ت
20040605,3815.70,3816,3816,3815.70,25309,9,تكنو-ت
20040606,4005.93,4006,3845,3994.85,645079,198,تكنو-ت
20040607,4194.21,4194,4016,4158.37,234147,149,تكنو-ت
20040608,4242.41,4300,4177,4258.70,207599,95,تكنو-ت
20040609,4280.85,4301,4052,4172.06,181697,91,تكنو-ت
20040612,4079.55,4080,3964,3970.75,149783,65,تكنو-ت
20040613,3963.58,3964,3844,3885.41,378143,135,تكنو-ت
20040614,3907.56,4080,3908,4052.84,305868,152,تكنو-ت
20040719,5863.94,9121,5212,6968.84,171330,117,تكنو-ت
20040720,7316.73,7317,6995,6994.90,690,2,تكنو-ت
20040724,7344.09,7344,7344,7344.09,26606,17,تكنو-ت
20040725,7710.88,7711,7661,7661.36,7674,13,تكنو-ت
20040726,8044.43,8044,8044,8044.43,656554,312,تكنو-ت
20040727,8446.39,8446,8446,8446.39,15200,8,تكنو-ت
20040728,8868.55,8869,8869,8868.55,26320,26,تكنو-ت
20040731,9311.55,9312,9312,9311.55,125820,87,تكنو-ت
20040801,9776.71,9777,9777,9776.71,54000,15,تكنو-ت
20040802,10265.31,10265,10265,10265.31,14700,8,تكنو-ت
20040803,10778.03,10778,10778,10778.03,26245,11,تكنو-ت
20040804,11316.80,11317,11317,11316.80,54630,60,تكنو-ت
20040807,11882.28,11882,11882,11882.28,173146,210,تكنو-ت
20040808,11882.28,11882,11289,11336.99,94124,100,تكنو-ت
20040809,10770.21,10770,10770,10770.21,92218,47,تكنو-ت
20040810,10232.09,11303,10232,10575.42,269506,254,تكنو-ت
20040811,11103.77,11104,10580,11073.15,106077,140,تكنو-ت
20040814,11065.33,11065,10521,10769.56,12224,16,تكنو-ت
20040918,3255.43,3257,3192,3239.79,30309,14,تكنو-ت
20040919,3235.88,3236,3078,3114.06,181637,90,تكنو-ت
20040920,2958.35,2960,2958,2958.35,141496,76,تكنو-ت
20040921,2958.35,3106,2930,3020.90,234864,115,تكنو-ت
20040922,3171.39,3171,3171,3171.39,47174,20,تكنو-ت
20040925,3329.70,3330,3330,3329.70,102462,55,تكنو-ت
20040926,3495.82,3496,3496,3495.82,25772,29,تكنو-ت
20040927,3670.42,3670,3670,3670.42,24003,9,تكنو-ت
20040928,3853.48,3853,3670,3785.08,356791,250,تكنو-ت
20040929,3602.66,3603,3596,3596.15,123278,104,تكنو-ت
20041002,3587.68,3588,3416,3443.70,53531,50,تكنو-ت
20041003,3387.68,3452,3355,3411.13,40397,45,تكنو-ت
20041004,3355.10,3388,3241,3324.48,35537,36,تكنو-ت
20041005,3309.50,3314,3222,3274.32,16093,24,تكنو-ت
20041006,3159.66,3160,3111,3116.01,91989,44,تكنو-ت
20041009,3196.80,3257,3192,3226.76,77870,60,تكنو-ت
20041010,3241.10,3257,3192,3222.85,36503,30,تكنو-ت
20041011,3189.63,3192,3159,3166.83,22434,24,تكنو-ت
20041012,3155.75,3156,3069,3091.91,15851,11,تكنو-ت
20041013,3054.77,3146,3055,3070.41,70657,41,تكنو-ت
20041016,3071.06,3075,2917,3027.41,18484,23,تكنو-ت
20041017,3026.76,3027,2899,2954.45,17230,17,تكنو-ت
20041018,2859.98,2863,2807,2808.52,35490,13,تكنو-ت
20041019,2799.39,2799,2704,2740.11,20722,21,تكنو-ت
20041020,2736.20,2736,2603,2617.63,69612,38,تكنو-ت
20041023,2627.40,2671,2602,2636.53,52213,42,تكنو-ت
20041024,2684.08,2768,2683,2749.88,52094,27,تكنو-ت
20041025,2806.56,2887,2807,2874.31,17877,13,تكنو-ت
20041026,3017.64,3018,3018,3017.64,29442,16,تكنو-ت
20041027,3168.13,3168,2925,3119.92,122018,86,تكنو-ت
20041030,2964.22,2964,2964,2964.22,16682,13,تكنو-ت
20041031,2816.33,2816,2816,2816.33,25839,17,تكنو-ت
20041101,2675.61,2951,2676,2687.99,56209,33,تكنو-ت
20041102,2736.20,2822,2736,2775.94,10363,11,تكنو-ت
20041103,2914.71,2915,2806,2805.91,1963,7,تكنو-ت
20041106,2945.98,2946,2946,2945.98,33962,20,تكنو-ت
