<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20041215,1760.00,1760,1760,1760.00,151712,35,P. Animal Feed-R-a
20140803,3520.00,3801,3520,3678.00,79480,23,P. Animal Feed-R-a
20140804,3972.00,3972,3972,3972.00,99660,17,P. Animal Feed-R-a
20140805,4289.00,4289,4289,4289.00,1002,8,P. Animal Feed-R-a
20140806,4632.00,4632,4304,4609.00,264206,92,P. Animal Feed-R-a
20140809,4900.00,4900,4654,4734.00,106467,54,P. Animal Feed-R-a
20140810,4730.00,4948,4650,4703.00,63184,32,P. Animal Feed-R-a
20140811,5063.00,5063,4900,4976.00,50831,36,P. Animal Feed-R-a
20140812,4970.00,5069,4700,4773.00,60769,38,P. Animal Feed-R-a
20140813,4925.00,4925,4720,4813.00,38795,21,P. Animal Feed-R-a
20140816,4989.00,5151,4428,4973.00,88068,68,P. Animal Feed-R-a
20140817,4576.00,4576,4576,4576.00,10735,9,P. Animal Feed-R-a
20140818,4210.00,4849,4210,4239.00,84659,40,P. Animal Feed-R-a
20140819,4107.00,4107,3910,3965.00,64398,41,P. Animal Feed-R-a
20140820,3712.00,3840,3712,3742.00,72530,21,P. Animal Feed-R-a
20140823,4000.00,4041,4000,4034.00,31393,15,P. Animal Feed-R-a
20140824,4300.00,4300,4000,4083.00,74501,24,P. Animal Feed-R-a
20140825,4085.00,4140,4085,4099.00,22510,18,P. Animal Feed-R-a
20140826,4189.00,4189,4021,4094.00,10941,10,P. Animal Feed-R-a
20140827,4170.00,4170,4160,4165.00,13740,8,P. Animal Feed-R-a
20140830,3850.00,3850,3833,3836.00,27208,10,P. Animal Feed-R-a
20140831,4137.00,4137,4090,4123.00,8768,10,P. Animal Feed-R-a
20140901,4000.00,4000,3840,3909.00,14402,11,P. Animal Feed-R-a
20140902,3998.00,3998,3998,3998.00,500,1,P. Animal Feed-R-a
20140903,3980.00,3980,3679,3721.00,29701,20,P. Animal Feed-R-a
20140906,3503.00,3600,3424,3448.00,42402,19,P. Animal Feed-R-a
20140907,3201.00,3301,3201,3253.00,19704,7,P. Animal Feed-R-a
20140908,3211.00,3333,3200,3229.00,13521,13,P. Animal Feed-R-a
20140909,3200.00,3200,2971,3040.00,104056,42,P. Animal Feed-R-a
20150317,4500.00,4500,4500,4500.00,757349,18,P. Animal Feed-R-a
