<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20050724,1810.00,1810,1810,1810.00,1000,1,Iran Auto-Parts-R-a
20050725,1810.00,1991,1810,1897.00,19319,3,Iran Auto-Parts-R-a
20050726,2084.00,2086,2084,2085.00,76010,21,Iran Auto-Parts-R-a
20050727,2086.00,2100,2086,2098.00,28686,16,Iran Auto-Parts-R-a
20050730,2149.00,2150,2024,2144.00,23510,7,Iran Auto-Parts-R-a
20050731,2150.00,2250,2061,2135.00,28440,11,Iran Auto-Parts-R-a
20050801,2200.00,2200,2150,2181.00,22720,10,Iran Auto-Parts-R-a
20050802,2190.00,2190,2190,2190.00,4540,1,Iran Auto-Parts-R-a
20050803,2190.00,2190,2190,2190.00,4000,4,Iran Auto-Parts-R-a
20050807,2004.00,2004,2003,2003.00,5585,2,Iran Auto-Parts-R-a
20050810,2101.00,2203,2100,2162.00,41560,10,Iran Auto-Parts-R-a
20050814,2162.00,2162,2162,2162.00,20000,5,Iran Auto-Parts-R-a
20050815,2162.00,2200,2162,2165.00,20918,4,Iran Auto-Parts-R-a
20050817,2170.00,2170,2170,2170.00,7089,1,Iran Auto-Parts-R-a
20050820,2350.00,2387,2350,2374.00,15010,3,Iran Auto-Parts-R-a
20050821,2600.00,2611,2600,2610.00,120570,14,Iran Auto-Parts-R-a
20050822,2590.00,2593,2590,2591.00,1332879,24,Iran Auto-Parts-R-a
20050824,2592.00,2700,2592,2699.00,15903,9,Iran Auto-Parts-R-a
20100208,850.00,909,850,893.00,272256,64,Iran Auto-Parts-R-a
20100209,915.00,915,900,905.00,350288,109,Iran Auto-Parts-R-a
20100210,886.00,902,885,891.00,340401,96,Iran Auto-Parts-R-a
20100217,920.00,920,900,916.00,40000,10,Iran Auto-Parts-R-a
20100220,900.00,902,900,900.00,151600,35,Iran Auto-Parts-R-a
20100221,904.00,910,863,895.00,70771,15,Iran Auto-Parts-R-a
20100222,870.00,870,833,841.00,172344,44,Iran Auto-Parts-R-a
20100223,783.00,783,783,783.00,60000,14,Iran Auto-Parts-R-a
20100224,729.00,729,729,729.00,63500,8,Iran Auto-Parts-R-a
20100227,681.00,720,681,709.00,752091,162,Iran Auto-Parts-R-a
20100228,709.00,758,709,738.00,117758,28,Iran Auto-Parts-R-a
20100301,732.00,747,728,730.00,218814,69,Iran Auto-Parts-R-a
20100302,719.00,749,687,718.00,388480,61,Iran Auto-Parts-R-a
20100303,720.00,757,720,745.00,199452,18,Iran Auto-Parts-R-a
20100306,745.00,753,738,746.00,67000,21,Iran Auto-Parts-R-a
20100307,730.00,730,719,722.00,52400,9,Iran Auto-Parts-R-a
20100308,702.00,710,701,703.00,70000,8,Iran Auto-Parts-R-a
20100309,702.00,710,698,702.00,342841,38,Iran Auto-Parts-R-a
20100310,701.00,703,700,700.00,77474,13,Iran Auto-Parts-R-a
20100313,702.00,703,700,701.00,123195,24,Iran Auto-Parts-R-a
20100314,698.00,698,671,680.00,8650,4,Iran Auto-Parts-R-a
20100315,700.00,700,695,699.00,131982,16,Iran Auto-Parts-R-a
20100328,680.00,703,680,699.00,210709,26,Iran Auto-Parts-R-a
20100329,707.00,745,707,738.00,137263,17,Iran Auto-Parts-R-a
20100330,753.00,763,745,753.00,130941,19,Iran Auto-Parts-R-a
20100331,765.00,765,739,763.00,32569,11,Iran Auto-Parts-R-a
20100403,750.00,773,750,755.00,99235,16,Iran Auto-Parts-R-a
20100404,800.00,807,763,790.00,309525,31,Iran Auto-Parts-R-a
20100405,776.00,788,775,782.00,526411,49,Iran Auto-Parts-R-a
20100406,799.00,799,730,758.00,335164,38,Iran Auto-Parts-R-a
20151205,140.00,154,140,145.00,5644188,253,Iran Auto-Parts-R-a
20151206,159.00,159,159,159.00,335623,24,Iran Auto-Parts-R-a
20151207,174.00,174,174,174.00,398345,36,Iran Auto-Parts-R-a
20151208,180.00,191,172,183.00,5597535,362,Iran Auto-Parts-R-a
20151209,194.00,201,193,200.00,614909,56,Iran Auto-Parts-R-a
20151213,219.00,220,217,219.00,1478840,87,Iran Auto-Parts-R-a
20151214,225.00,240,225,239.00,340486,32,Iran Auto-Parts-R-a
20151215,262.00,262,262,262.00,62643,11,Iran Auto-Parts-R-a
20151216,288.00,288,236,250.00,6240082,420,Iran Auto-Parts-R-a
20151219,258.00,258,225,226.00,1255318,119,Iran Auto-Parts-R-a
20151220,205.00,205,204,204.00,904061,59,Iran Auto-Parts-R-a
20151221,224.00,224,215,224.00,3594155,204,Iran Auto-Parts-R-a
