<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20140208,100.00,100,100,100.00,12000000
20140209,100.00,100,100,100.00,12000000
20140210,100.00,100,100,100.00,12000000
20140212,100.00,100,100,100.00,12000000
20140215,100.00,100,100,100.00,12000000
20140216,100.00,100,100,100.00,12000000
20140217,100.00,100,100,100.00,12000000
20140218,100.00,100,100,100.00,12000000
20140219,100.00,100,100,100.00,12000000
20140222,100.00,100,100,100.00,12000000
20140223,100.00,100,100,100.00,12000000
20140224,100.00,100,100,100.00,12000000
20140225,100.00,100,100,100.00,8162019
