<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20140413,200.00,200,200,200.00,45236
20140414,200.00,200,200,200.00,14003
20140415,200.00,200,200,200.00,25725
20140419,200.00,200,200,200.00,112529
20140420,200.00,200,200,200.00,30721
20140421,200.00,200,200,200.00,2101
20140422,200.00,200,200,200.00,20613
20140423,125.00,125,100,100.00,2859534
20181216,1900.00,1900,1710,1729.00,722471
20181217,1840.00,1840,1612,1724.00,146301
20181218,1572.00,1590,1552,1561.00,125573
20181219,1413.00,1677,1413,1459.00,117801
20181222,1459.00,1459,1314,1325.00,269881
20181223,1431.00,1457,1380,1441.00,460560
20181224,1585.00,1585,1585,1585.00,15600
20181225,1743.00,1743,1552,1738.00,1014215
20181226,1900.00,1910,1703,1807.00,944266
20181229,1940.00,1940,1799,1809.00,216355
20181230,1790.00,1849,1654,1692.00,987983
20181231,1602.00,1830,1602,1775.00,1414948
20190101,1712.00,1820,1712,1788.00,1105751
20190102,1702.00,1847,1702,1819.00,457760
20190105,1847.00,1847,1670,1724.00,181291
20190106,1642.00,1750,1642,1723.00,13140
20190107,1665.00,1700,1630,1654.00,206287
20190108,1622.00,1743,1622,1650.00,124176
20190109,1735.00,1735,1572,1646.00,270017
20190112,1713.00,1713,1601,1627.00,59384
20190113,1532.00,1612,1513,1533.00,59775
20190114,1640.00,1686,1631,1682.00,966914
20190115,1710.00,1850,1710,1847.00,1055603
20190116,2031.00,2031,1919,2024.00,1543366
20190119,2024.00,2099,1825,1987.00,318329
20190120,1900.00,1900,1789,1794.00,338041
20190121,1970.00,1970,1615,1640.00,150516
20190122,1740.00,1740,1512,1568.00,85573
20190123,1700.00,1724,1569,1702.00,201826
20190126,1870.00,1870,1702,1716.00,109476
20190127,1766.00,1864,1545,1566.00,238502
20190128,1650.00,1650,1489,1564.00,26983
20190129,1599.00,1687,1520,1636.00,181198
20190130,1718.00,1783,1601,1667.00,121164
20190202,1748.00,1748,1602,1701.00,111093
20190203,1718.00,1720,1600,1673.00,94408
20190204,1808.00,1840,1790,1822.00,411376
20190205,1870.00,1975,1835,1902.00,3042733
20190206,2004.00,2004,1712,1754.00,481211
20190210,1680.00,1929,1680,1888.00,381549
20190212,1960.00,1960,1730,1780.00,986871
20190608,6550.00,6550,6550,6550.00,20000
20190609,6450.00,6450,6050,6164.00,35000
20190610,5600.00,5600,5550,5558.00,91000
20190611,5450.00,5450,5050,5064.00,87261
20190612,5000.00,5000,4700,4712.00,2668265
20190615,5180.00,5180,4712,4743.00,1557350
20190616,4713.00,4713,4713,4713.00,207391
20190617,4600.00,4713,4600,4605.00,106953
20190618,5065.00,5065,4605,4636.00,199591
20190619,5099.00,5099,4500,4515.00,192538
20190622,4320.00,4350,4064,4100.00,2180340
20190623,4100.00,4100,3700,3790.00,3500000
20190624,4169.00,4169,4169,4169.00,3500000
20190625,4585.00,4585,4585,4585.00,3048041
