<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20190703,5000.00,5500,5000,5298.00,395564,119,وآذرح-ت
20190706,5827.00,5827,5827,5827.00,147332,55,وآذرح-ت
20190707,6409.00,6409,6409,6409.00,63292,27,وآذرح-ت
20190708,7049.00,7049,7049,7049.00,282409,63,وآذرح-ت
20190709,6345.00,7100,6345,6451.00,272478,135,وآذرح-ت
20190710,6452.00,7000,6452,6901.00,75921,90,وآذرح-ت
20190713,7000.00,7096,6323,6740.00,62141,53,وآذرح-ت
20190714,6551.00,6572,6353,6459.00,205829,77,وآذرح-ت
20190715,6450.00,6450,5815,5867.00,215645,55,وآذرح-ت
20190716,5359.00,6390,5359,6023.00,78803,61,وآذرح-ت
20190717,6390.00,6625,6201,6596.00,183797,72,وآذرح-ت
20190720,7200.00,7255,6006,7224.00,165047,70,وآذرح-ت
20190721,7900.00,7946,7301,7940.00,224241,74,وآذرح-ت
20190722,8734.00,9607,8734,9394.00,244417,138,وآذرح-ت
20190723,10250.00,10333,8857,9595.00,130882,152,وآذرح-ت
20190724,10200.00,10200,8853,9032.00,130409,63,وآذرح-ت
20190727,8141.00,9119,8129,8258.00,180797,84,وآذرح-ت
20190728,7507.00,9083,7507,8864.00,96310,78,وآذرح-ت
20190729,9497.00,9497,8885,8970.00,40474,47,وآذرح-ت
20190730,9150.00,9200,8811,9016.00,71946,35,وآذرح-ت
20190731,9090.00,9917,9090,9735.00,290088,128,وآذرح-ت
20190803,10708.00,10708,10708,10708.00,20185,29,وآذرح-ت
20190804,11778.00,11778,11778,11778.00,43916,17,وآذرح-ت
20190805,12955.00,12955,12955,12955.00,15887,7,وآذرح-ت
20190806,14249.00,14250,13101,13982.00,251453,181,وآذرح-ت
20190807,14954.00,14954,14000,14402.00,207780,191,وآذرح-ت
20190810,14954.00,14954,14500,14722.00,105348,112,وآذرح-ت
20190811,14722.00,15241,13860,14179.00,142546,147,وآذرح-ت
20190813,13800.00,13800,12762,12836.00,185464,167,وآذرح-ت
20190814,13000.00,13200.00,11553.00,11889.00,142029,127,وآذرح-ت
