<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20150314,5034.45,5638,5001,5145.21,432656
20150315,5000.89,5001,4430,4598.13,357223
20150316,4430.32,4531,4229,4365.88,390431
20150317,4101.40,4362,4028,4091.33,283400
20150318,3961.78,4330,3893,4074.55,529786
20150325,4161.81,4162,4028,4095.36,272974
20150328,3957.08,4028,3957,4002.05,9300
20150329,4061.13,4162,4061,4110.80,58000
20150330,4067.84,4068,3901,4046.36,56553
20150331,3960.44,4095,3960,3979.90,398802
20150404,4128.25,4363,4128,4256.46,189469
20150405,4517.58,4632,4430,4494.76,366415
20150406,4363.19,4497,4142,4373.26,172000
20150407,4181.95,4692,4162,4399.44,124808
20150408,4410.18,4430,4183,4325.60,137098
20150411,4183.29,4183,4162,4163.16,5280
20150412,4228.94,4275,4135,4175.91,151594
20150413,4128.25,4142,4102,4129.59,39363
20150414,4121.54,4162,4061,4096.03,231549
20150415,4067.84,4128,4028,4053.74,296160
20150418,4028.23,4028,3994,4012.79,388262
20150419,4007.42,4028,3981,4012.12,141790
20150420,4027.56,4034,3981,4014.81,254377
20150421,3963.12,3963,3897,3947.68,93078
20150422,3900.69,3927,3900,3902.04,208725
20150425,3901.37,3902,3692,3730.19,324065
20150426,3734.22,3736,3732,3733.55,28732
20150427,3734.89,3960,3734,3769.80,85054
20150428,3734.22,3735,3692,3723.48,213362
20150429,3691.93,3719,3591,3629.50,190919
20150503,3789.26,3793,3425,3773.15,529557
20150505,3518.08,3518,3517,3517.40,15022
20150506,3618.09,3759,3517,3523.45,208378
20150509,3484.51,3485,3485,3484.51,1434
20150510,3484.51,3485,3425,3441.55,12767
20150511,3424.77,3440,3423,3426.11,53960
20150512,3490.55,3491,3356,3419.40,40400
20150513,3436.85,3625,3437,3507.34,35270
20150517,3684.55,3692,3497,3618.09,73657
20150518,3490.55,3504,3491,3496.60,11331
20150519,3497.94,3625,3437,3482.50,10000
20150523,3436.85,3491,3363,3375.77,86564
20150524,3489.88,3490,3370,3387.85,48980
20150525,3389.87,3417,3379,3389.87,31480
20150526,3487.87,3489,3430,3483.17,36420
20150527,3436.85,3438,3431,3437.52,44065
20150530,3490.55,3491,3440,3440.21,50100
20150531,3440.21,3440,3363,3383.15,180929
20150601,3364.36,3372,3364,3368.38,6064
20150602,3482.50,3482,3411,3413.36,26500
20150606,3411.35,3411,3411,3411.35,125
20150607,3412.69,3413,3413,3412.69,3800
20150608,3423.43,3457,3407,3423.43,154141
20150609,3403.29,3403,3311,3343.55,90650
20150610,3356.30,3356,3271,3313.34,563989
20150613,3289.18,3356,3271,3279.78,535547
20150614,3403.29,3403,3289,3328.11,161016
20150615,3356.30,3390,3356,3389.19,39985
20150616,3403.29,3403,3290,3317.37,189676
20150617,3356.30,3423,3291,3315.36,288362
20150620,3389.87,3467,3382,3384.49,199000
20150621,3356.30,3381,3356,3362.34,90962
20150622,3356.30,3357,3356,3356.97,90066
20150623,3356.30,3423,3356,3377.78,31029
20150624,3305.29,3450,3305,3383.82,79815
20150627,3436.85,3450,3356,3412.02,165771
20150628,3356.30,3442,3289,3296.56,190700
20150630,3289.18,3303,3289,3293.20,174000
20150701,3309.31,3309,3222,3249.57,33252
20150704,3289.18,3289,3222,3237.49,129419
20150705,3436.18,3436,2719,3012.62,574590
20150706,3028.06,3028,3027,3028.06,36258
20150707,3020.67,3021,2927,2937.44,104940
20150711,2940.12,2940,2940,2940.12,7400
20150712,3020.67,3021,2941,2997.85,8908
20150713,3121.36,3222,3121,3158.28,39306
20150714,3020.67,3282,3021,3111.96,77190
20150715,3222.05,3222,3021,3077.73,66331
20150720,3121.36,3215,3027,3121.36,31350
20150727,3020.67,3021,2853,2906.56,7590
20150729,2886.42,2886,2886,2886.42,1874
20150801,2886.42,2886,2886,2886.42,500
