<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20040726,19000.00,19000,19000,19000.00,207
20040731,19000.00,19000,19000,19000.00,207
20060717,7600.00,7600,7600,7600.00,1000
20060718,7599.00,7600,7599,7600.00,2999100
20060719,7550.00,7550,7550,7550.00,500
20060927,7200.00,7200,7200,7200.00,1032500
20170124,2000.00,2001,2000,2000.00,83000
20171004,1600.00,1600,1600,1600.00,1082000
20171008,1680.00,1680,1680,1680.00,4652641
20180424,1430.00,1430,1287,1352.00,17500
20180915,1550.00,1550,1400,1471.00,169499
20180916,1324.00,1324,1324,1324.00,58060
20180917,1200.00,1200,1200,1200.00,80760
20180918,1200.00,1200,1200,1200.00,366250
20180922,1200.00,1200,1200,1200.00,671269
20180923,1200.00,1252,1200,1214.00,1737500
20180924,1262.00,1335,1261,1312.00,5225974
20190630,1470.00,1617,1470,1615.00,2047981
20190701,1759.00,1759,1551,1646.00,4781149
20190702,1550.00,1692,1550,1609.00,3506164
20190703,1679.00,1679,1496,1584.00,3030928
20190706,1600.00,1648,1455,1530.00,1972062
20190707,1425.00,1554,1425,1490.00,1470507
20190708,1502.00,1551,1471,1495.00,1091257
20190709,1481.00,1516,1411,1471.00,1505273
20190710,1460.00,1515,1460,1498.00,1146737
20190714,1415.00,1521,1415,1502.00,572739
20190715,1522.00,1585,1390,1491.00,3430524
20190716,1470.00,1470,1342,1369.00,1391909
20190717,1400.00,1453,1281,1402.00,1866940
20190720,1495.00,1495,1347,1398.00,229362
20190721,1490.00,1490,1300,1392.00,705584
20190722,1356.00,1450,1356,1404.00,120452
20190723,1388.00,1388,1300,1323.00,790461
20190724,1270.00,1349,1225,1271.00,1174735
20190727,1308.00,1309,1271,1292.00,476918
20190728,1275.00,1275,1225,1244.00,505076
20190729,1279.00,1368,1250,1319.00,1287283
20190730,1280.00,1430,1280,1357.00,1839850
20190731,1439.00,1492,1431,1471.00,1385094
20190803,1350.00,1473,1350,1376.00,406086
20190804,1305.00,1403,1305,1373.00,488773
20190805,1379.00,1389,1360,1375.00,94309
20190806,1373.00,1373,1320,1333.00,185798
20190807,1308.00,1400,1290,1364.00,841476
20190810,1375.00,1402,1300,1369.00,1242271
20190811,1405.00,1493,1370,1410.00,2421046
20190813,1350.00,1475,1350,1425.00,1163479
20190814,1467.00,1468.00,1376.00,1388.00,262898
