<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20120313,2168.54,2169,2169,2168.54,30799829,1110,ركيش-ت
20120314,2255.28,2255,2255,2255.28,518221,43,ركيش-ت
20120317,2345.34,2345,2345,2345.34,500800,60,ركيش-ت
20120318,2438.94,2439,2439,2438.94,491901,254,ركيش-ت
20120324,2536.31,2536,2536,2536.31,531160,168,ركيش-ت
20120325,2637.65,2638,2638,2637.65,249110,69,ركيش-ت
20120326,2848.53,2962,2827,2899.65,16258584,8178,ركيش-ت
20120327,2845.66,2961,2833,2902.75,3381756,1823,ركيش-ت
20120328,2884.60,2897,2836,2862.25,1551874,874,ركيش-ت
20120402,2852.30,2865,2748,2788.35,2264378,1311,ركيش-ت
20120403,2754.93,2830,2717,2762.46,1366492,819,ركيش-ت
20120404,2726.17,2776,2726,2755.82,956230,502,ركيش-ت
20120407,2737.23,2836,2722,2804.06,1397683,697,ركيش-ت
20120408,2827.95,2916,2828,2888.81,3033099,1045,ركيش-ت
20120409,2854.51,2880,2811,2832.16,811097,377,ركيش-ت
20120410,2814.90,2854,2778,2803.39,631053,323,ركيش-ت
20120411,2766.00,2814,2750,2799.41,630437,290,ركيش-ت
20120414,2753.60,2809,2754,2773.08,571596,282,ركيش-ت
20120415,2810.47,2865,2758,2768.65,4169541,516,ركيش-ت
20120416,2788.12,2821,2745,2771.75,906990,593,ركيش-ت
20120417,2765.77,2883,2760,2828.18,1819068,702,ركيش-ت
20120418,2941.25,2941,2941,2941.25,702729,128,ركيش-ت
20120421,2965.15,3020,2877,2945.23,4032979,1089,ركيش-ت
20120422,2878.41,2910,2842,2885.04,1017086,529,ركيش-ت
20120423,2885.49,2909,2799,2850.75,2346586,643,ركيش-ت
20120424,2908.72,2919,2890,2902.97,751804,417,ركيش-ت
20120428,2889.91,2903,2869,2877.96,943573,316,ركيش-ت
20120429,2887.70,2888,2833,2870.44,722237,209,ركيش-ت
20120430,2865.57,2965,2866,2902.53,1743643,623,ركيش-ت
20120501,2888.14,2903,2855,2877.30,576732,315,ركيش-ت
20120502,2889.69,2987,2858,2946.56,1797762,618,ركيش-ت
20120505,2947.45,2976,2903,2946.12,573786,213,ركيش-ت
20120506,2943.24,2954,2936,2943.24,678380,223,ركيش-ت
20120507,2943.24,2943,2922,2934.39,648548,191,ركيش-ت
20120508,2923.99,2965,2924,2944.35,469321,183,ركيش-ت
20120509,2954.08,2983,2945,2961.61,472991,167,ركيش-ت
20120512,2949.66,3009,2943,2976.21,434319,216,ركيش-ت
20120513,2987.28,2987,2910,2929.96,255106,108,ركيش-ت
20120514,2942.58,2954,2905,2931.07,325485,92,ركيش-ت
20120515,2939.70,2943,2886,2910.05,474310,91,ركيش-ت
20120516,2918.02,2931,2899,2918.90,324108,71,ركيش-ت
20120519,2876.64,2985,2877,2961.39,741616,224,ركيش-ت
20120520,2921.11,2983,2912,2968.02,741716,184,ركيش-ت
20120521,2975.99,3074,2974,3012.50,1494990,322,ركيش-ت
20120522,3038.17,3118,3038,3092.38,2197296,364,ركيش-ت
20120523,3097.69,3109,3054,3085.30,916189,218,ركيش-ت
20120526,3031.75,3080,2965,3055.21,937456,186,ركيش-ت
20120527,3071.36,3109,3071,3092.83,676685,191,ركيش-ت
20120528,3108.98,3142,3076,3107.21,556474,147,ركيش-ت
20120529,3093.49,3113,3013,3061.85,361322,102,ركيش-ت
20120530,3091.28,3092,2988,3051.23,1183282,171,ركيش-ت
20120602,3009.18,3009,2966,2982.85,254060,114,ركيش-ت
20120605,3004.98,3005,2930,2944.79,351364,77,ركيش-ت
20120606,2976.21,2976,2899,2939.92,354150,31,ركيش-ت
20120806,2599.37,2604,2496,2592.29,22697598,1970,ركيش-ت
20120807,2522.59,2600,2503,2595.83,3000034,403,ركيش-ت
20120808,2592.51,2602,2589,2592.29,798520,166,ركيش-ت
20120811,2600.04,2600,2489,2575.70,308512,90,ركيش-ت
20120812,2602.03,2602,2545,2587.20,273585,67,ركيش-ت
20120813,2630.57,2631,2589,2587.42,32690,34,ركيش-ت
20120814,2588.97,2600,2486,2587.64,42455,34,ركيش-ت
20120815,2588.97,2600,2589,2588.97,632005,59,ركيش-ت
20120818,2584.33,2584,2485,2586.32,6090,12,ركيش-ت
20120821,2483.20,2484,2483,2582.11,9701,22,ركيش-ت
20120822,2489.40,2567,2489,2558.44,86015,30,ركيش-ت
20120825,2564.63,2565,2467,2550.25,35225,24,ركيش-ت
20120826,2542.50,2543,2459,2543.61,19112,14,ركيش-ت
20120827,2489.40,2489,2442,2479.66,151061,30,ركيش-ت
20120902,2380.53,2381,2381,2475.01,11041,19,ركيش-ت
20120903,2376.10,2376,2376,2474.35,1625,4,ركيش-ت
20120904,2375.44,2375,2375,2473.46,2365,11,ركيش-ت
20120905,2374.55,2375,2375,2473.46,70,2,ركيش-ت
20120908,2374.55,2375,2375,2473.46,60,2,ركيش-ت
20120909,2275.64,2276,2185,2207.93,79248,104,ركيش-ت
20120910,2146.41,2169,2120,2119.64,282072,71,ركيش-ت
20120911,2035.77,2191,2036,2124.73,43710,46,ركيش-ت
20120915,2190.67,2210,2081,2145.31,62736,32,ركيش-ت
20120916,2102.16,2213,2080,2148.40,29868,30,ركيش-ت
20120917,2095.52,2166,2072,2139.77,58635,54,ركيش-ت
20120918,2057.90,2091,2058,2071.18,14049477,60,ركيش-ت
20120919,2080.03,2154,2069,2074.94,142284,57,ركيش-ت
20120922,2135.35,2135,2073,2101.49,7239315,100,ركيش-ت
20120923,2124.06,2140,2091,2108.80,78942,112,ركيش-ت
20120924,2135.35,2135,2024,2097.95,72035,56,ركيش-ت
20120925,2062.33,2062,2027,2085.56,51866,83,ركيش-ت
20120926,2067.64,2124,2047,2093.31,150825,77,ركيش-ت
20120929,2102.16,2122,2058,2088.66,76313,83,ركيش-ت
20120930,2036.66,2080,2009,2067.42,83184,66,ركيش-ت
20121001,2046.62,2047,1987,2054.58,41966,56,ركيش-ت
20121002,2026.04,2026,1972,2045.29,29219,31,ركيش-ت
20121003,1969.39,1974,1965,2036.22,28238,38,ركيش-ت
20121006,2033.12,2033,1955,2030.46,17334,28,ركيش-ت
20121007,2024.49,2024,1949,2025.37,15697,32,ركيش-ت
20121008,1945.49,1947,1944,2019.40,17975,28,ركيش-ت
20121009,1991.30,1992,1939,2013.87,19567,33,ركيش-ت
20121010,1938.63,1939,1933,2007.89,17953,25,ركيش-ت
20121013,1927.79,1928,1928,2006.56,3735,4,ركيش-ت
20121014,1926.46,1926,1926,2005.90,1842,9,ركيش-ت
20121015,1925.80,1939,1926,1995.72,30986,51,ركيش-ت
20121016,1960.32,1960,1916,1986.21,28678,32,ركيش-ت
20121017,1906.77,1983,1907,1906.77,244655,52,ركيش-ت
20121020,1839.94,1840,1831,1891.06,49724,22,ركيش-ت
20121021,1816.93,1817,1816,1876.89,45098,62,ركيش-ت
20121022,1801.88,1877,1802,1831.09,5218207,424,ركيش-ت
20121023,1761.61,1904,1758,1807.85,6977707,633,ركيش-ت
20121024,1879.99,1880,1880,1808.08,800,2,ركيش-ت
20121027,1880.21,1880,1880,1880.21,500205,11,ركيش-ت
20121028,1955.23,1955,1955,1955.23,4571191,355,ركيش-ت
20121029,1989.30,2011,1955,1985.76,1220136,366,ركيش-ت
20121030,1987.09,1991,1967,1983.55,1645424,319,ركيش-ت
20121031,1987.98,1988,1904,1948.15,140735,69,ركيش-ت
20121104,1969.39,1969,1870,1912.52,113463,33,ركيش-ت
20121105,1837.06,1839,1836,1846.36,209208,48,ركيش-ت
20121106,1783.96,1865,1784,1822.68,253666,99,ركيش-ت
20121107,1895.48,1895,1895,1895.48,244977,27,ركيش-ت
20121110,1971.16,1971,1947,1968.06,841123,166,ركيش-ت
20121111,1970.72,1971,1890,1961.42,23417,16,ركيش-ت
20121112,1920.71,1921,1883,1883.31,435873,91,ركيش-ت
20121113,1951.69,1952,1883,1916.28,148343,111,ركيش-ت
20121114,1967.84,1968,1868,1909.64,48003,26,ركيش-ت
20121117,1925.13,1976,1881,1966.29,377655,159,ركيش-ت
20121118,1991.07,2045,1969,2029.80,1226903,307,ركيش-ت
20121119,2057.90,2069,1953,2044.40,357900,153,ركيش-ت
20121120,2068.96,2069,1999,2031.57,133209,61,ركيش-ت
20121121,2030.68,2050,1969,2020.95,505849,112,ركيش-ت
20121126,1990.85,2047,1963,1999.93,145190,53,ركيش-ت
20121127,1939.52,1992,1940,1990.19,163820,58,ركيش-ت
20121128,1991.52,2011,1992,1992.40,414812,86,ركيش-ت
20121201,2023.82,2024,1992,1994.84,175372,69,ركيش-ت
20121202,1969.39,2018,1926,1989.53,81007,42,ركيش-ت
20121203,1938.85,1970,1939,1985.54,38714,29,ركيش-ت
20121204,1991.30,1991,1941,1974.92,104951,49,ركيش-ت
20121205,1990.85,1991,1967,1975.58,64117,36,ركيش-ت
20121208,1980.45,1991,1936,1964.30,138243,43,ركيش-ت
20121209,1985.10,1986,1925,1955.89,70354,26,ركيش-ت
20121210,1951.69,1965,1903,1940.84,201457,46,ركيش-ت
20121211,1925.13,1964,1925,1946.82,248000,44,ركيش-ت
20121212,1881.32,1947,1881,1945.71,13639,16,ركيش-ت
20121215,1924.91,1980,1903,1946.82,298222,96,ركيش-ت
20121216,1945.05,1969,1931,1946.82,19923,17,ركيش-ت
20121217,1947.04,1953,1925,1942.17,502165,69,ركيش-ت
20121218,1947.26,1961,1925,1925.80,792471,62,ركيش-ت
20121219,1914.07,1936,1849,1897.25,727054,93,ركيش-ت
20121222,1861.18,1925,1861,1906.10,154111,30,ركيش-ت
20121223,1903.01,1947,1864,1903.01,170764,44,ركيش-ت
20121224,1925.13,1925,1827,1878.00,531612,99,ركيش-ت
20121225,1909.64,1910,1829,1879.77,91090,50,ركيش-ت
20121226,1914.07,1914,1870,1879.99,11426,12,ركيش-ت
20121229,1841.05,1897,1820,1866.72,65443,54,ركيش-ت
20121230,1848.79,1849,1803,1855.21,61868,49,ركيش-ت
20121231,1794.36,1817,1792,1841.71,60266,38,ركيش-ت
20130101,1796.35,1818,1768,1772.23,532049,148,ركيش-ت
20130102,1814.27,1814,1768,1772.45,47867,63,ركيش-ت
20130106,1770.46,1813,1770,1774.88,60146,43,ركيش-ت
20130107,1783.51,1803,1779,1775.99,14229,18,ركيش-ت
20130108,1780.42,1812,1780,1777.98,28068,24,ركيش-ت
20130109,1795.46,1849,1795,1820.47,176308,81,ركيش-ت
20130113,1878.66,1893,1876,1869.59,164825,81,ركيش-ت
20130114,1944.16,1944,1914,1937.52,254582,143,ركيش-ت
20130115,1861.40,1933,1861,1924.03,274146,86,ركيش-ت
20130116,1924.47,1924,1852,1914.73,38467,23,ركيش-ت
20130119,1839.06,1876,1838,1906.32,27514,30,ركيش-ت
20130120,1831.53,1833,1831,1901.01,16978,11,ركيش-ت
20130121,1831.53,1916,1825,1895.70,45032,31,ركيش-ت
20130122,1902.78,1903,1820,1874.90,67615,23,ركيش-ت
20130123,1800.55,1825,1800,1862.29,40631,38,ركيش-ت
20130126,1789.05,1832,1788,1839.28,76353,37,ركيش-ت
20130127,1766.25,1770,1766,1815.60,77889,43,ركيش-ت
20130128,1770.24,1803,1746,1806.97,35817,44,ركيش-ت
20130130,1803.43,1803,1735,1800.11,24970,29,ركيش-ت
20130202,1729.52,1730,1728,1792.59,24980,52,ركيش-ت
20130203,1720.89,1837,1721,1775.77,82755,83,ركيش-ت
20130204,1770.02,1770,1705,1770.02,26450,28,ركيش-ت
20130205,1715.14,1763,1701,1766.70,13592,32,ركيش-ت
20130206,1703.85,1726,1696,1733.73,115325,51,ركيش-ت
20130209,1725.98,1748,1672,1732.40,71471,34,ركيش-ت
20130211,1747.00,1802,1745,1753.86,97057,72,ركيش-ت
20130212,1802.32,1802,1726,1755.19,39069,26,ركيش-ت
20130213,1731.29,1766,1704,1751.43,42420,24,ركيش-ت
20130216,1685.27,1748,1685,1746.34,22908,21,ركيش-ت
20130217,1725.32,1725,1686,1740.81,25294,23,ركيش-ت
20130218,1745.68,1810,1746,1776.88,131467,58,ركيش-ت
20130219,1821.13,1821,1781,1781.30,27667,22,ركيش-ت
20130220,1803.43,1803,1713,1776.88,28863,45,ركيش-ت
20130223,1812.28,1812,1726,1773.56,27968,20,ركيش-ت
20130224,1725.98,1812,1726,1773.34,69136,37,ركيش-ت
20130225,1770.46,1812,1770,1778.20,67913,33,ركيش-ت
20130226,1808.96,1809,1778,1781.08,34369,31,ركيش-ت
20130227,1802.77,1812,1770,1783.96,32004,28,ركيش-ت
20130302,1811.17,1824,1785,1787.94,33182,52,ركيش-ت
20130303,1716.47,1859,1716,1826.00,217963,55,ركيش-ت
20130304,1899.02,1899,1899,1835.74,31749,24,ركيش-ت
20130305,1908.98,1909,1909,1908.98,239980,26,ركيش-ت
20130306,1985.32,1985,1913,1984.44,502440,166,ركيش-ت
20130309,1960.54,2012,1909,1991.07,157323,57,ركيش-ت
20130310,1969.39,2011,1967,1990.85,101904,57,ركيش-ت
20130311,2011.43,2070,2011,2054.36,247705,77,ركيش-ت
20130312,2102.16,2136,2102,2136.01,456208,102,ركيش-ت
20130313,2146.41,2221,2146,2215.67,259234,91,ركيش-ت
20130316,2221.43,2279,2180,2213.68,102486,67,ركيش-ت
20130317,2212.58,2213,2125,2161.90,239370,83,ركيش-ت
20130318,2075.60,2076,2076,2132.25,82501,27,ركيش-ت
20130325,2047.06,2191,2047,2130.04,43522,70,ركيش-ت
