<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20170206,5070.00,5070.00,5070.00,5070.00,60605,1,TSE financial-a
20170215,4901.00,4901.00,4901.00,4901.00,3124998,32,TSE financial-a
20170219,4900.00,4900.00,4900.00,4900.00,500000,5,TSE financial-a
20170410,4550.00,4550.00,4550.00,4550.00,833332,9,TSE financial-a
20170416,4550.00,4550.00,4550.00,4550.00,2000000,20,TSE financial-a
20170606,4090.00,4090.00,4090.00,4090.00,100000,1,TSE financial-a
20180327,2939.00,2939.00,2939.00,3088.00,20832,1,TSE financial-a
20180409,3246.00,3246.00,3246.00,3195.00,400000,4,TSE financial-a
20180410,3252.00,3252.00,3252.00,3252.00,600000,6,TSE financial-a
20180411,3248.00,3248.00,3248.00,3248.00,1100000,11,TSE financial-a
20180415,3250.00,3250.00,3250.00,3250.00,13524998,137,TSE financial-a
20180416,3250.00,3250.00,3250.00,3250.00,6249998,64,TSE financial-a
20180602,3217.00,3217.00,3217.00,3217.00,104165,2,TSE financial-a
20180618,3804.00,3804.00,3804.00,3804.00,1049997,11,TSE financial-a
20180623,4040.00,4040.00,4040.00,4040.00,7363635,375,TSE financial-a
20180701,5000.00,5000.00,5000.00,5000.00,3124999,32,TSE financial-a
20180703,5250.00,5250.00,5250.00,5231.00,494997,8,TSE financial-a
20180721,5030.00,5030.00,5030.00,5030.00,1747000,18,TSE financial-a
20180815,4100.00,3933.00,3900.00,3931.00,7500000,145,TSE financial-a
20180825,4400.00,4400.00,4400.00,4400.00,7499997,77,TSE financial-a
20180826,4420.00,4420.00,4420.00,4610.00,99998,3,TSE financial-a
20180909,4800.00,4800.00,4800.00,4950.00,200000,6,TSE financial-a
20180910,4830.00,4830.00,4830.00,4995.00,200000,4,TSE financial-a
20190216,5129.00,5129.00,5129.00,5129.00,497000,5,TSE financial-a
20190317,5400.00,5400.00,5400.00,5400.00,1249999,15,TSE financial-a
20190528,11789.00,11789.00,10667.00,10967.00,1999000,35,TSE financial-a
20190529,11200.00,11200.00,11200.00,11298.00,500000,18,TSE financial-a
20190728,8123.00,8123.00,8123.00,7951.00,1000,1,TSE financial-a
