<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20190615,601000.00,624998,601000,601539.00,57776
20190616,602501.00,619000,602501,605927.00,62557
20190617,605000.00,606000,600111,603876.00,85054
20190618,603000.00,605000,603000,603900.00,64399
20190619,602022.00,605000,602020,604557.00,35902
20190622,604568.00,610000,604000,606359.00,120384
20190623,608630.00,608745,604821,607227.00,225574
20190624,607001.00,608000,605600,607898.00,268752
20190625,607000.00,608500,607000,607979.00,159570
20190626,608000.00,610000,607000,608020.00,130236
20190630,607173.00,610100,607173,608872.00,186749
20190701,608066.00,612699,608066,610872.00,162701
20190702,609601.00,613997,609601,612793.00,78419
20190703,613000.00,615399,613000,614029.00,145005
20190706,615000.00,615700,613999,614912.00,48857
20190707,615300.00,616003,615300,615634.00,109082
20190708,616003.00,616700,614522,616021.00,90031
20190709,624900.00,624900,616999,618131.00,135317
20190710,617040.00,620500,617040,619757.00,257372
20190713,617888.00,621500,617888,620303.00,166091
20190714,620000.00,623900,618000,621734.00,243685
20190715,623500.00,623500,621000,622083.00,101255
20190716,621010.00,622001,619002,620483.00,167543
20190717,621500.00,623000,620236,622582.00,395674
20190720,623000.00,624000,621303,622308.00,248975
20190721,622000.00,623200,621800,622344.00,191998
20190722,622000.00,622551,616101,621806.00,132403
20190723,621900.00,622000,618000,620643.00,141390
20190724,620000.00,621000,619109,620033.00,123859
20190727,620001.00,621200,620001,620456.00,291532
20190728,620000.00,621200,620000,620300.00,334502
20190729,619510.00,621000,619510,620454.00,167634
20190730,621000.00,621799,620000,620893.00,244332
20190731,620620.00,622000,620602,621313.00,165538
20190803,620877.00,622699,620000,621317.00,373144
20190804,621300.00,621489,621111,621378.00,221117
20190805,621320.00,621900,620320,621366.00,194437
20190806,620501.00,622500,620344,621631.00,271716
20190807,621000.00,622449,620343,622055.00,230420
20190810,621602.00,623199,621500,622417.00,133565
20190811,622500.00,622864,620801,622056.00,111413
20190813,622001.00,622500,608000,622054.00,191577
20190814,608750.00,620000.00,608750.00,615827.00,128631
