<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20131112,2.13,2,2,2.13,1000,1,Moshanir Investmen-a
20131130,2.13,2,2,2.13,100,1,Moshanir Investmen-a
20131225,1.36,1,1,1.36,44750,2,Moshanir Investmen-a
20140609,1.19,1,1,1.19,100,1,Moshanir Investmen-a
20140611,1.19,1,1,1.19,50,1,Moshanir Investmen-a
20140614,1.19,1,1,1.19,120,2,Moshanir Investmen-a
20140617,1.19,1,1,1.19,50,1,Moshanir Investmen-a
20140621,1.19,1,1,1.19,10,1,Moshanir Investmen-a
20140622,1.11,1,1,1.11,20050,1,Moshanir Investmen-a
20140806,1.19,1,1,1.19,31000,2,Moshanir Investmen-a
20140817,1.19,1,1,1.19,9670,1,Moshanir Investmen-a
20140906,1.19,1,1,1.19,5000,1,Moshanir Investmen-a
20140927,1.19,1,1,1.19,1100,2,Moshanir Investmen-a
20141208,1.20,1,1,1.20,10000,1,Moshanir Investmen-a
20141224,1.20,1,1,1.20,4000,1,Moshanir Investmen-a
20150104,1.20,1,1,1.20,4000,1,Moshanir Investmen-a
20160109,1.22,1,1,1.22,4000,1,Moshanir Investmen-a
20160430,1.22,1,1,1.22,160000,1,Moshanir Investmen-a
20160709,1.63,2,2,1.63,100000,1,Moshanir Investmen-a
20160725,1.63,2,2,1.63,10000,1,Moshanir Investmen-a
20170313,1.63,2,2,1.63,10000,1,Moshanir Investmen-a
20190408,2602.00,3000,2602,561.00,20000,2,Moshanir Investmen-a
20190501,3000.00,3000,3000,805.00,10000,1,Moshanir Investmen-a
20190506,4103.00,5503,4103,3991.00,89375,7,Moshanir Investmen-a
20190608,6000.00,6000,6000,6000.00,831355,52,Moshanir Investmen-a
20190612,6520.00,8900,6520,6935.00,1893346,121,Moshanir Investmen-a
20190617,10001.00,12010,10001,10182.00,1668710,153,Moshanir Investmen-a
20190619,12000.00,13000,12000,12271.00,1193712,180,Moshanir Investmen-a
20190622,11400.00,12500,11400,11957.00,1921534,213,Moshanir Investmen-a
20190624,13000.00,14297,13000,13420.00,977648,150,Moshanir Investmen-a
20190626,15001.00,15001,14750,14969.00,1671957,403,Moshanir Investmen-a
20190701,12000.00,12000,12000,12000.00,974432,181,Moshanir Investmen-a
20190703,12000.00,13000,12000,12339.00,664759,146,Moshanir Investmen-a
20190706,13200.00,13525,13200,13341.00,389110,121,Moshanir Investmen-a
20190708,13580.00,13580,12500,13416.00,654384,235,Moshanir Investmen-a
20190710,12000.00,12499,12000,12110.00,918730,210,Moshanir Investmen-a
20190713,12002.00,12220,12002,12027.00,502518,141,Moshanir Investmen-a
20190715,12000.00,12002,12000,12000.00,820313,239,Moshanir Investmen-a
20190717,11500.00,11701,11500,11509.00,804067,329,Moshanir Investmen-a
20190720,10350.00,11500,10350,10920.00,696648,98,Moshanir Investmen-a
20190722,12498.00,12498,12000,12415.00,340584,158,Moshanir Investmen-a
20190724,11551.00,11600,11551,11555.00,279803,168,Moshanir Investmen-a
20190727,11500.00,11595,11500,11504.00,209857,140,Moshanir Investmen-a
20190729,11550.00,11550,11550,11550.00,439753,131,Moshanir Investmen-a
20190731,11295.00,11900,11295,11368.00,553519,110,Moshanir Investmen-a
20190803,12000.00,12000,12000,12000.00,569135,159,Moshanir Investmen-a
20190805,12000.00,12200,12000,12041.00,416794,155,Moshanir Investmen-a
