<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20020615,1337.32,1370,1334,1334.44,603000
20020616,1400.76,1401,1401,1400.76,597000
20020617,1470.70,1471,1471,1470.70,1000
20020618,1544.23,1544,1544,1544.23,2000
20020619,1582.44,1582,1578,1582.44,91900
20020622,1583.16,1621,1572,1573.07,102723
20020623,1534.14,1534,1534,1534.14,15390
20020624,1530.53,1531,1496,1495.93,180483
20020717,1444.02,1449,1444,1449.07,25000
20020720,1449.07,1521,1449,1449.07,1201500
20020721,1521.16,1521,1521,1521.16,386650
20020723,1499.53,1500,1500,1499.53,3500
20020724,1477.90,1478,1478,1477.90,5000
20020727,1441.86,1442,1442,1441.86,12677
20020728,1441.86,1442,1442,1441.86,15000
20020730,1438.97,1440,1439,1440.42,29195
20020731,1443.30,1443,1443,1443.30,137200
20020803,1444.74,1445,1444,1444.74,17500
20020804,1444.74,1445,1445,1444.74,10000
20020805,1448.35,1478,1448,1477.90,24000
20020810,1477.90,1478,1478,1477.90,23000
20020811,1477.90,1478,1478,1477.90,20000
20020813,1477.90,1478,1478,1477.90,1000
20020814,1477.90,1478,1478,1477.90,10000
20020818,1477.18,1477,1477,1477.18,10000
20020820,1441.86,1443,1442,1442.58,8600
20020821,1442.58,1443,1443,1442.58,2200
20020824,1441.86,1443,1442,1442.58,6984
20020904,1370.49,1370,1370,1370.49,13000
20020908,1369.04,1369,1369,1369.04,6973
20020909,1355.35,1355,1355,1355.35,240
20020911,1355.35,1355,1355,1355.35,6860
20020917,1304.88,1305,1305,1304.88,14000
20020923,1240.00,1240,1240,1240.00,7090
20020929,1240.00,1240,1240,1240.00,9270
20021001,1240.00,1240,1240,1240.00,2042
20021014,1302.00,1302,1302,1302.00,2000
20021015,1304.88,1334,1305,1333.72,20000
20021016,1362.56,1399,1363,1398.60,11974
20021019,1463.49,1463,1463,1463.49,16200
20021020,1463.49,1463,1463,1463.49,10010
20021021,1492.32,1492,1492,1492.32,10000
20021023,1521.16,1521,1521,1521.16,16027
20021026,1550.00,1550,1550,1550.00,9793
20021027,1578.83,1586,1579,1586.04,6000
20021028,1607.67,1608,1608,1607.67,9850
20021029,1614.88,1615,1615,1614.88,10000
20021030,1614.88,1622,1615,1622.09,10000
20021102,1629.30,1629,1629,1629.30,10870
20021103,1636.51,1637,1629,1636.51,65500
20021104,1632.90,1637,1633,1632.90,22198
20021105,1632.90,1637,1633,1636.51,21200
20021106,1632.90,1658,1633,1658.14,17602
20021109,1694.18,1694,1694,1694.18,247200
20021110,1730.23,1730,1730,1730.23,178400
20021113,1766.28,1766,1730,1766.28,119090
20021116,1802.32,1802,1802,1802.32,106400
20021117,1838.37,1838,1838,1838.37,6506
20021118,1874.42,1874,1874,1874.42,15000
20021119,1874.42,1968,1874,1968.14,182002
20021120,2018.60,2019,2019,2018.60,10000
20021123,2054.65,2055,2055,2054.65,5676
20021130,2053.93,2054,2054,2053.93,494
20021209,2054.65,2055,2055,2054.65,1000
20021210,2054.65,2157,2055,2157.02,1587230
20021211,2155.58,2264,2156,2156.30,1595000
20021214,2234.88,2235,2235,2234.88,1584100
20021215,2239.21,2249,2234,2234.16,767865
20021216,2233.44,2233,2233,2233.44,1149360
20021217,2122.41,2122,2122,2122.41,400000
20021218,2112.32,2122,2112,2112.32,100500
20021222,2076.28,2076,2007,2007.07,17230
20021228,1906.86,1907,1907,1906.86,1000
20021231,1900.37,1900,1900,1900.37,320
20030121,1864.32,1864,1864,1864.32,615
20030201,1857.11,1857,1857,1857.11,375
20030202,1857.83,1858,1858,1857.83,270
