<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20140510,1076.78,1077,1077,1076.78,1000
20150901,992.33,992,992,992.33,1000
20151019,992.33,992,992,992.33,500
20151201,992.33,992,992,992.33,100
20151207,992.33,992,992,992.33,100
20160116,992.33,992,992,992.33,1000
20160305,992.33,992,992,992.33,14000
20160704,992.33,992,992,992.33,10
20160710,992.33,992,992,992.33,1
20160711,992.33,992,992,992.33,1239
20170116,819.60,820,820,819.60,10000
20170410,819.60,820,820,819.60,90
20170527,819.60,820,820,819.60,2917
20170530,901.47,901,901,901.47,15070
20170607,991.43,991,991,991.43,4995
20170717,1090.40,1090,1090,1090.40,15000
20170814,1360.73,1636,1361,1097.65,15745
20170819,1635.59,1636,1636,1098.56,1348
20170826,961.58,998,962,1095.84,15748
20170830,997.87,998,998,1091.30,30000
20170903,997.87,998,998,1089.49,10675
20170904,907.15,907,907,1083.14,15000
20170924,1086.76,1087,906,1083.14,2300
20171011,1313.17,1313,1313,1083.14,1000
20171015,959.97,960,960,1082.23,5000
20171016,969.03,969,969,1081.33,5000
20171022,1086.76,1087,1087,1081.33,675
20171028,1086.76,1105,1087,1081.33,5010
20171104,1086.76,1087,930,1080.42,6110
20171105,953.63,987,954,1078.61,11100
20171106,1176.42,1176,1176,1078.61,2000
20171108,1141.10,1141,1141,1078.61,3000
20171111,1078.61,1079,1079,1078.61,10000
20171112,1082.23,1105,1082,1079.52,23500
20171113,1213.55,1214,1214,1082.23,11220
20171125,969.03,969,969,1081.33,4257
20171129,961.78,962,962,1080.42,4143
20171204,1114.84,1115,1109,1080.42,200
20171224,1186.07,1186,1186,1080.42,1000
20171225,1186.07,1186,1186,1080.42,1600
20180103,1175.11,1186,1175,1081.42,13701
20180106,1186.07,1196,1186,1082.42,11029
20180107,1096.37,1196,1096,1082.42,1960
20180113,1097.37,1097,1097,1082.42,5808
20180130,727.59,845,708,763.47,4869927
20180131,707.66,708,688,697.69,1523301
20180203,658.82,662,631,640.88,1148814
20180204,627.92,668,583,604.00,37304124
20180205,657.82,664,658,663.80,11675542
20180206,697.69,717,660,683.74,13111338
20180207,658.82,677,657,663.80,3062823
20180210,654.83,655,623,630.91,1940813
20180212,662.81,663,627,630.91,1229210
20180213,630.91,648,602,609.98,21853088
20180214,615.96,631,616,625.93,2761018
20180217,614.96,636,605,613.97,4623612
20180218,611.97,617,604,606.99,829336
20180219,609.98,623,605,608.98,1575940
20180221,607.99,646,607,628.92,2983180
20180224,619.95,631,620,625.93,1783010
20180225,611.97,632,611,623.93,1843065
20180226,626.92,628,612,624.93,1428800
20180227,613.97,626,614,619.95,812005
