<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20171129,2742.26,2742,2742,2742.26,200000,14,خعمرا-ت
20171202,2742.26,2742,2742,2742.26,253,1,خعمرا-ت
20171204,2743.16,2743,2743,2743.16,5000,1,خعمرا-ت
20171209,2743.16,2743,2742,2743.16,26000,7,خعمرا-ت
20171211,2743.16,2743,2743,2743.16,12580,4,خعمرا-ت
20171216,2516.59,2517,2517,2516.59,20000,2,خعمرا-ت
20171220,1799.10,1799,1799,1799.10,27500,1,خعمرا-ت
20180101,1799.10,1974,1799,1833.27,102880,18,خعمرا-ت
20180103,1973.53,1974,1974,1973.53,20000,4,خعمرا-ت
20180106,1973.53,1974,1974,1973.53,14439,4,خعمرا-ت
20180108,1973.53,2023,1974,1996.91,51900,4,خعمرا-ت
20180110,1996.91,1997,1997,1996.91,58600,13,خعمرا-ت
20180113,1996.91,1997,1997,1996.91,9500,3,خعمرا-ت
20180117,1996.91,1997,1997,1996.91,26685,6,خعمرا-ت
20180120,1996.91,1997,1997,1996.91,9315,4,خعمرا-ت
20180122,1996.91,1997,1997,1996.91,13818,6,خعمرا-ت
20180131,1996.91,1997,1997,1996.91,5000,1,خعمرا-ت
20180205,1997.80,1998,1998,1997.80,500,1,خعمرا-ت
20180207,1997.80,1998,1998,1997.80,1000,2,خعمرا-ت
20180212,1997.80,1998,1998,1997.80,1000,1,خعمرا-ت
20180224,1995.11,1995,1995,1995.11,3104,2,خعمرا-ت
20180226,1995.11,1995,1995,1995.11,2253,5,خعمرا-ت
20180305,1995.11,1995,1995,1995.11,1000,1,خعمرا-ت
20180307,1995.11,1995,1995,1995.11,1500,1,خعمرا-ت
20180314,1995.11,1995,1995,1995.11,42722,10,خعمرا-ت
20180326,1995.11,1995,1995,1995.11,30000,6,خعمرا-ت
20180328,1995.11,1995,1995,1995.11,25000,6,خعمرا-ت
20180404,1995.11,1995,1995,1995.11,15000,5,خعمرا-ت
20180411,1995.11,1995,1995,1995.11,1952,2,خعمرا-ت
20180423,1995.11,1995,1995,1995.11,1067,4,خعمرا-ت
20180428,1995.11,1995,1995,1995.11,14999,6,خعمرا-ت
20180611,1987.39,2186,1987,1995.11,18600,7,خعمرا-ت
20180613,2603.57,2604,2604,2208.21,55963,21,خعمرا-ت
20180620,2603.57,2604,2604,2230.39,9000,1,خعمرا-ت
20180623,2230.39,2230,2230,2230.39,453,1,خعمرا-ت
20180630,2230.39,2230,2230,2230.39,10000,3,خعمرا-ت
20180707,2230.39,2230,2230,2230.39,712,1,خعمرا-ت
20180728,2230.39,2230,2230,2230.39,70,1,خعمرا-ت
20180825,2892.86,2893,2893,2251.61,5028,4,خعمرا-ت
20180903,2476.29,2476,2476,2252.57,700,1,خعمرا-ت
20180908,2477.25,2477,2477,2477.25,10152,2,خعمرا-ت
20180912,2724.11,2724,2724,2724.11,6100,4,خعمرا-ت
20180918,2996.04,2996,2996,2996.04,4900,1,خعمرا-ت
20180926,3294.96,3295,3295,3294.96,23203,3,خعمرا-ت
20181028,3623.79,3624,3624,3623.79,50600,6,خعمرا-ت
20181124,3985.39,3985,3985,3985.39,7908,5,خعمرا-ت
20181203,4383.64,4384,4384,4383.64,73000,7,خعمرا-ت
20181210,4821.43,4821,4821,4821.43,75098,7,خعمرا-ت
20181231,5303.57,5304,5304,5303.57,101283,10,خعمرا-ت
20190123,5824.29,5834,5497,5769.32,225012,78,خعمرا-ت
20190126,6266.89,6267,5882,6010.39,18452,20,خعمرا-ت
20190202,5785.71,5786,5786,5785.71,20000,3,خعمرا-ت
20190218,5785.71,5786,5786,5785.71,200,1,خعمرا-ت
20190225,5783.79,5784,5784,5783.79,7908,1,خعمرا-ت
20190302,5737.50,5738,5738,5737.50,200,1,خعمرا-ت
20190316,4821.43,4821,4821,4821.43,10518,4,خعمرا-ت
20190318,4821.43,4821,4821,4821.43,12189,5,خعمرا-ت
20190325,4821.43,4821,4821,4821.43,2987,1,خعمرا-ت
20190330,4821.43,4821,4821,4821.43,5135,6,خعمرا-ت
20190408,4348.93,4349,4349,4348.93,6981,3,خعمرا-ت
20190410,4339.29,4339,4339,4339.29,37109,5,خعمرا-ت
20190413,4342.18,4342,4342,4342.18,1241,2,خعمرا-ت
20190417,4342.18,4342,4342,4342.18,1200,1,خعمرا-ت
20190422,4342.18,4342,4342,4342.18,1559,2,خعمرا-ت
20190504,4342.18,4342,4342,4342.18,5076,3,خعمرا-ت
20190518,4342.18,4342,4342,4342.18,4000,1,خعمرا-ت
20190520,3953.57,3954,3954,3953.57,3149,1,خعمرا-ت
20190522,3953.57,3954,3954,3953.57,4060,4,خعمرا-ت
20190525,4050.00,4050,4050,4050.00,310,3,خعمرا-ت
20190603,4050.00,4050,4050,4050.00,2028,1,خعمرا-ت
20190715,4050.00,4050,4050,4050.00,1014,1,خعمرا-ت
20190727,4050.00,4050,4050,4050.00,8580,3,خعمرا-ت
20190731,4050.00,4050,4050,4050.00,3068,2,خعمرا-ت
20190803,4210.00,4210,4210,4210.00,2000,1,خعمرا-ت
20190805,4510.00,4510,4510,4510.00,2000,1,خعمرا-ت
20190807,4900.00,4900,4900,4900.00,2059,1,خعمرا-ت
