<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20180224,1000000.00,1000000,1000000,1000000.00,100001,11,صخود1412-ت
20180225,1000000.00,1000000,1000000,1000000.00,148,3,صخود1412-ت
20180226,1000000.00,1000000,1000000,1000000.00,709861,74,صخود1412-ت
20180227,1000000.00,1000000,1000000,1000000.00,189990,19,صخود1412-ت
20180307,1000001.00,1000001,1000001,1000001.00,2,1,صخود1412-ت
20180311,1000001.00,1000001,1000000,1000000.00,37,2,صخود1412-ت
20180312,1000001.00,1000001,1000000,1000000.00,15,3,صخود1412-ت
20180314,1000000.00,1000001,1000000,1000001.00,14,2,صخود1412-ت
20180319,1000001.00,1000001,1000001,1000001.00,1,1,صخود1412-ت
20180325,1000000.00,1000000,1000000,1000000.00,3,1,صخود1412-ت
20180327,1000001.00,1000001,1000001,1000001.00,105,2,صخود1412-ت
20180404,1000001.00,1000001,1000001,1000001.00,61,2,صخود1412-ت
20180407,1000000.00,1000000,1000000,1000000.00,50000,5,صخود1412-ت
20180408,1000001.00,1000001,1000001,1000001.00,2,1,صخود1412-ت
20180409,1000000.00,1000001,1000000,1000000.00,80,2,صخود1412-ت
20180415,1000001.00,1000001,1000001,1000001.00,4,2,صخود1412-ت
20180508,1000001.00,1000001,1000001,1000001.00,888,1,صخود1412-ت
20180512,1000000.00,1000000,1000000,1000000.00,110,1,صخود1412-ت
20180513,1000000.00,1000000,1000000,1000000.00,1,1,صخود1412-ت
20180514,1000000.00,1000000,1000000,1000000.00,3,1,صخود1412-ت
20180515,1000000.00,1000000,1000000,1000000.00,1,1,صخود1412-ت
20180520,1000000.00,1000000,1000000,1000000.00,10,1,صخود1412-ت
20180526,1000000.00,1000000,1000000,1000000.00,8621,1,صخود1412-ت
20180602,1000000.00,1000000,1000000,1000000.00,10,1,صخود1412-ت
20180611,1000000.00,1000000,1000000,1000000.00,108,6,صخود1412-ت
20180617,1000001.00,1000001,1000001,1000001.00,2,1,صخود1412-ت
20180730,1000000.00,1000000,1000000,1000000.00,1000,1,صخود1412-ت
20180801,1000000.00,1000000,1000000,1000000.00,49000,5,صخود1412-ت
20181128,1000000.00,1000000,1000000,1000000.00,8621,2,صخود1412-ت
20181226,989800.00,989800,989800,989800.00,2,1,صخود1412-ت
20190109,980000.00,980000,980000,980000.00,2,1,صخود1412-ت
20190115,980000.00,980000,980000,980000.00,2,1,صخود1412-ت
20190206,980010.00,980010,980010,980010.00,888,1,صخود1412-ت
20190216,980000.00,980000,980000,980000.00,888,1,صخود1412-ت
20190526,1000000.00,1000000,1000000,1000000.00,20,1,صخود1412-ت
