<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20110713,2456.10,2456,2456,2456.10,19997000
20110716,2578.90,2579,2473,2576.53,7652278
20110718,2605.84,2646,2529,2586.03,7009102
20110719,2519.48,2571,2496,2537.71,2038452
20110720,2487.79,2519,2465,2493.34,1007426
20110723,2456.10,2575,2456,2506.01,2035163
20110724,2487.79,2519,2434,2465.61,766713
20110725,2403.81,2427,2343,2372.91,1538626
20110726,2337.26,2472,2337,2408.56,823545
20110727,2469.57,2470,2385,2415.69,476305
20110730,2416.48,2448,2345,2377.66,336051
20110731,2321.41,2321,2275,2299.23,177399
20110801,2297.64,2371,2223,2273.87,531941
20110802,2181.17,2281,2161,2194.64,760280
20110803,2222.37,2258,2153,2227.92,508470
20110806,2155.03,2218,2155,2172.46,278640
20110807,2183.55,2246,2147,2211.28,426859
20110808,2210.49,2210,2139,2153.44,397883
20110809,2139.18,2139,2096,2122.55,540254
20110810,2099.57,2228,2068,2183.55,856066
20110813,2292.10,2292,2292,2292.10,127854
20110814,2406.19,2406,2405,2406.19,1233902
20110815,2425.20,2448,2337,2407.77,415984
20110816,2313.49,2414,2313,2368.95,1061957
20110817,2387.17,2487,2377,2467.19,2857161
20110820,2494.13,2590,2480,2562.27,3379835
20110821,2536.91,2690,2519,2663.68,2145357
20110823,2763.51,2797,2764,2785.69,403068
20110824,2915.63,2924,2828,2910.08,5484930
20110827,2922.76,2970,2861,2898.99,2956672
20110828,2911.67,2912,2813,2866.51,667959
20110829,2852.24,2882,2821,2835.61,211000
20110830,2835.61,2977,2828,2874.43,5566396
20110903,3010.70,3018,2925,2975.05,2557094
20110904,3113.70,3114,2973,2996.44,1565420
20110905,2979.80,3050,2852,2998.82,911309
20110906,3049.52,3073,2931,2997.23,1894408
20110907,2931.47,2989,2895,2933.06,440262
20110910,2852.24,3011,2852,2971.88,945392
20110911,2891.86,2938,2884,2896.61,287500
20110912,2971.09,2975,2887,2944.15,2560632
20110913,2931.47,2975,2857,2918.00,504546
20110914,2926.72,2927,2844,2858.58,286392
20110917,2834.02,2875,2805,2811.84,414100
20110918,2803.91,2867,2804,2853.04,110800
20110919,2852.24,2852,2851,2851.45,1001
20110920,2883.14,2883,2781,2842.74,72400
20110921,2812.63,2969,2813,2876.81,219695
20110925,2814.21,2892,2737,2800.75,118213
20110926,2852.24,2858,2805,2830.85,138123
20110927,2852.24,2931,2773,2853.04,815970
20110928,2887.90,2916,2852,2887.11,45273
20111001,2923.55,2924,2852,2855.41,231010
20111002,2860.17,2954,2855,2876.01,3568032
20111003,2947.32,3019,2924,2958.41,746045
20111004,2985.35,2985,2916,2927.51,290633
20111005,2946.53,2987,2933,2948.11,393703
20111008,2957.62,3010,2955,2966.33,211825
20111009,2948.11,3007,2924,2944.94,212261
20111010,2932.27,2947,2900,2925.93,110543
20111011,2931.47,2991,2905,2945.73,654582
20111012,2931.47,2968,2924,2933.06,313291
20111015,2931.47,2931,2894,2912.46,630765
20111016,2944.15,2944,2827,2846.70,169780
20111017,2913.25,2913,2825,2848.28,1771732
20111018,2925.14,2951,2877,2920.38,240900
20111019,2986.93,3019,2931,2977.43,195965
20111022,2933.06,2970,2933,2959.20,54610
20111023,2971.09,3011,2948,2996.44,227839
20111024,2923.55,2955,2924,2947.32,138411
20111025,2939.40,3034,2939,2986.93,79431
20111026,2986.93,3030,2975,2990.10,1868540
20111029,2972.67,3003,2962,2975.84,102152
20111030,3009.12,3010,2959,2998.03,171900
20111031,2999.61,3080,2976,3023.38,554323
20111101,3082.01,3082,3039,3047.15,26010
