<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20190513,10503.00,10503,10503,10503.00,18888779,1287,Shirin Sugar-a
20190515,10999.00,11000,10999,10999.00,44465433,5385,Shirin Sugar-a
20190518,11000.00,11000,11000,11000.00,22427531,2835,Shirin Sugar-a
20190520,10990.00,10990,10000,10556.00,6084731,754,Shirin Sugar-a
20190522,10669.00,10669,9389,9947.00,4145970,685,Shirin Sugar-a
20190525,9000.00,9000,8500,8704.00,4336885,706,Shirin Sugar-a
20190529,9666.00,10800,9666,10316.00,5962061,727,Shirin Sugar-a
20190601,10800.00,10800,10800,10800.00,11794529,1562,Shirin Sugar-a
20190603,10800.00,10800,10490,10679.00,5923190,602,Shirin Sugar-a
20190608,9980.00,10100,9980,10004.00,6529574,756,Shirin Sugar-a
20190610,10799.00,11395,10799,10948.00,8028593,845,Shirin Sugar-a
20190612,12105.00,13300,12105,12720.00,45115063,2722,Shirin Sugar-a
20190615,13300.00,13750,13300,13371.00,28643349,2746,Shirin Sugar-a
20190617,13749.00,13749,13190,13725.00,17074974,2041,Shirin Sugar-a
20190619,12999.00,13250,12999,13016.00,33385405,1936,Shirin Sugar-a
20190622,13100.00,13900,13100,13558.00,2986305,374,Shirin Sugar-a
20190710,12889.00,12889,11205,12053.00,2941237,406,Shirin Sugar-a
20190713,11499.00,11499,10800,11122.00,1808037,379,Shirin Sugar-a
20190715,10625.00,10625,8900,9597.00,1949055,476,Shirin Sugar-a
20190717,9010.00,10501,9010,9730.00,2728751,463,Shirin Sugar-a
20190720,11000.00,11000,11000,11000.00,5957818,1219,Shirin Sugar-a
20190722,10699.00,10699,9988,10282.00,1991509,480,Shirin Sugar-a
20190724,10000.00,10000,10000,10000.00,3685114,720,Shirin Sugar-a
20190727,10880.00,10880,10000,10173.00,1715935,272,Shirin Sugar-a
20190729,10000.00,10002,10000,10000.00,3355603,657,Shirin Sugar-a
20190731,10400.00,10400,10117,10254.00,2069997,268,Shirin Sugar-a
20190803,10002.00,10150,10002,10016.00,2303307,609,Shirin Sugar-a
20190805,10000.00,10000,10000,10000.00,3305719,722,Shirin Sugar-a
20190807,10600.00,10900,10600,10632.00,3954763,754,Shirin Sugar-a
20190810,9999.00,10450,9999,10083.00,3560596,538,Shirin Sugar-a
20190814,10610.00,10610.00,10300.00,10491.00,2945671,539,Shirin Sugar-a
