<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20051203,1504.00,2498,1503,2478.00,112135,19,ثنوساح-ت
20051204,2231.00,2234,2231,2231.00,103000,37,ثنوساح-ت
20051205,2453.00,2454,2227,2367.00,1047886,17,ثنوساح-ت
20051206,2429.00,2500,2417,2447.00,1025093,10,ثنوساح-ت
20051210,2344.00,2344,2344,2344.00,6000,1,ثنوساح-ت
20051212,2110.00,2500,2110,2144.00,1948165,85,ثنوساح-ت
20051213,2092.00,2092,2092,2092.00,707,1,ثنوساح-ت
20060507,762.00,883,750,799.00,2283500,48,ثنوساح-ت
20060508,830.00,830,830,830.00,908916,20,ثنوساح-ت
20150318,2100.00,2265,2100,2200.00,2121065,464,ثنوساح-ت
20150325,2280.00,2372,2100,2314.00,3076490,423,ثنوساح-ت
20150328,2375.00,2499,2375,2486.00,8426821,877,ثنوساح-ت
20150329,2520.00,2668,2452,2589.00,4171837,609,ثنوساح-ت
20150330,2580.00,2596,2382,2426.00,2986836,509,ثنوساح-ت
20150331,2388.00,2475,2268,2356.00,1603877,330,ثنوساح-ت
20150404,2544.00,2544,2544,2544.00,2783362,127,ثنوساح-ت
20150405,2740.00,2740,2520,2657.00,9812509,1150,ثنوساح-ت
20150406,2461.00,2550,2445,2470.00,6433007,884,ثنوساح-ت
20150407,2475.00,2590,2402,2501.00,3259071,451,ثنوساح-ت
20150408,2470.00,2570,2351,2443.00,3944658,536,ثنوساح-ت
20150411,2360.00,2438,2270,2334.00,2156750,368,ثنوساح-ت
20150412,2300.00,2300,2148,2155.00,1672599,293,ثنوساح-ت
20150413,2170.00,2230,1983,2038.00,3036314,474,ثنوساح-ت
20150414,2095.00,2166,2004,2123.00,7508527,781,ثنوساح-ت
20150415,2180.00,2195,2061,2129.00,4944943,677,ثنوساح-ت
20150418,2001.00,2100,1959,1974.00,3394385,563,ثنوساح-ت
20150419,1910.00,2060,1860,1966.00,1901933,242,ثنوساح-ت
20150420,1882.00,1901,1825,1854.00,1413014,220,ثنوساح-ت
20150421,1851.00,1940,1806,1877.00,1862761,230,ثنوساح-ت
20150422,1957.00,1957,1810,1860.00,1618334,234,ثنوساح-ت
20150425,1830.00,1896,1750,1789.00,1705489,280,ثنوساح-ت
20150426,1688.00,1880,1688,1839.00,3159446,528,ثنوساح-ت
20150427,1780.00,1780,1692,1705.00,2412280,362,ثنوساح-ت
20150428,1625.00,1703,1569,1595.00,4719863,720,ثنوساح-ت
20150429,1589.00,1624,1471,1517.00,3084773,428,ثنوساح-ت
20150503,1452.00,1529,1396,1429.00,3121334,424,ثنوساح-ت
20150504,1380.00,1400,1315,1327.00,1881933,400,ثنوساح-ت
20150505,1329.00,1335,1221,1254.00,2597792,363,ثنوساح-ت
20150506,1158.00,1252,1158,1192.00,1772831,260,ثنوساح-ت
20150509,1162.00,1162,1097,1108.00,2455063,362,ثنوساح-ت
20150510,1030.00,1090,1020,1023.00,4111423,442,ثنوساح-ت
20150511,952.00,1045,944,988.00,2865663,405,ثنوساح-ت
20150512,991.00,1067,966,1031.00,4760111,557,ثنوساح-ت
20150513,1080.00,1110,1020,1062.00,7083965,818,ثنوساح-ت
20150805,1200.00,1200,1200,1200.00,584400,27,ثنوساح-ت
20150808,1270.00,1270,1200,1230.00,35000,2,ثنوساح-ت
20150809,1140.00,1140,1107,1108.00,3610000,162,ثنوساح-ت
20150810,1108.00,1108,1108,1108.00,110000,5,ثنوساح-ت
20150812,1088.00,1088,1050,1050.00,3953900,153,ثنوساح-ت
20150815,1030.00,1030,1000,1008.00,7625424,239,ثنوساح-ت
20150816,1000.00,1000,1000,1000.00,1642500,74,ثنوساح-ت
20150817,985.00,985,985,985.00,5955998,183,ثنوساح-ت
20150818,985.00,985,985,985.00,2715000,91,ثنوساح-ت
20150819,985.00,985,955,957.00,29946394,1244,ثنوساح-ت
