<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20070827,888.00,888,888,888.00,2166,1,Charkheshgar-R-a
20080511,750.00,839,750,839.00,7210311,290,Charkheshgar-R-a
20140414,887.00,957,887,937.00,1397451,244,Charkheshgar-R-a
20140415,1011.00,1011,1011,1011.00,290103,43,Charkheshgar-R-a
20140416,1091.00,1091,1091,1091.00,41794,10,Charkheshgar-R-a
20140419,1178.00,1178,1030,1101.00,1159078,183,Charkheshgar-R-a
20140420,1189.00,1189,1189,1189.00,655361,67,Charkheshgar-R-a
20140421,1284.00,1284,1212,1267.00,1346709,217,Charkheshgar-R-a
20140422,1298.00,1298,1166,1219.00,287325,78,Charkheshgar-R-a
20140423,1188.00,1196,1122,1143.00,863593,111,Charkheshgar-R-a
20140426,1171.00,1234,1171,1222.00,688675,80,Charkheshgar-R-a
20140427,1270.00,1270,1153,1236.00,1229800,156,Charkheshgar-R-a
20140428,1141.00,1188,1138,1157.00,937666,156,Charkheshgar-R-a
20140429,1111.00,1111,1067,1075.00,323538,42,Charkheshgar-R-a
20140430,1002.00,1130,993,1091.00,113553,20,Charkheshgar-R-a
20140503,1114.00,1114,1013,1049.00,94883,19,Charkheshgar-R-a
20140504,972.00,1000,969,983.00,97941,18,Charkheshgar-R-a
20140505,1000.00,1040,934,995.00,591152,96,Charkheshgar-R-a
20140506,1030.00,1030,950,972.00,276586,35,Charkheshgar-R-a
20140507,951.00,1030,951,1007.00,278745,40,Charkheshgar-R-a
20140510,954.00,1043,940,961.00,160044,23,Charkheshgar-R-a
20140511,892.00,975,892,944.00,140303,38,Charkheshgar-R-a
20140512,964.00,989,950,971.00,335263,66,Charkheshgar-R-a
20140514,910.00,1048,910,1019.00,1508708,159,Charkheshgar-R-a
20140517,1048.00,1048,938,945.00,357284,52,Charkheshgar-R-a
20140518,963.00,1020,963,1003.00,625358,82,Charkheshgar-R-a
20140519,1047.00,1047,970,991.00,1383042,171,Charkheshgar-R-a
20140528,1000.00,1270,1000,1190.00,1373322,197,Charkheshgar-R-a
20140531,1240.00,1240,1095,1104.00,392798,58,Charkheshgar-R-a
20140601,1017.00,1017,1016,1016.00,161588,26,Charkheshgar-R-a
20140602,935.00,1000,935,944.00,557491,77,Charkheshgar-R-a
20140603,902.00,974,901,944.00,352534,56,Charkheshgar-R-a
20140607,870.00,900,869,870.00,991666,129,Charkheshgar-R-a
20140608,812.00,830,801,802.00,953102,135,Charkheshgar-R-a
20141117,1500.00,1500,1500,1500.00,5385327,133,Charkheshgar-R-a
